tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-status
https://propsearch.ae/dubai/q-gardens,https://static.propsearch.ae/dubai-locations/q-gardens-24339_sm.jpg,Q Gardens,Under development
https://propsearch.ae/dubai/resortz-by-danube,https://static.propsearch.ae/dubai-locations/resortz-by-danube-24321_sm.jpg,Resortz by Danube,Complete
https://propsearch.ae/dubai/restofair-building,https://static.propsearch.ae/dubai-locations/unknown-arjan-commercial-building-14589_sm.jpg,Restofair Building,Complete
https://propsearch.ae/dubai/rose-palace,https://static.propsearch.ae/dubai-locations/arjan-5-story-residential-14711_sm.jpg,Rose Palace,Complete
https://propsearch.ae/dubai/samana-greens,https://static.propsearch.ae/dubai-locations/samana-greens-24362_sm.jpg,Samana Greens,Under development
https://propsearch.ae/dubai/samana-hills,https://static.propsearch.ae/dubai-locations/samana-hills-24398_sm.jpg,Samana Hills,Under development
https://propsearch.ae/dubai/savoy-hotel,https://static.propsearch.ae/dubai-locations/savoy-hotel-24317_sm.jpg,Savoy Hotel,Under development (In progress)
https://propsearch.ae/dubai/sheikha-maryam-arjan-building,https://static.propsearch.ae/dubai-locations/sheikha-maryam-arjan-building-14671_sm.jpg,Sheikha Maryam Arjan Building,Complete
https://propsearch.ae/dubai/siraj-tower,https://static.propsearch.ae/dubai-locations/siraj-tower-14621_sm.jpg,Siraj Tower,Complete
https://propsearch.ae/dubai/sunrise-legend,https://static.propsearch.ae/dubai-locations/square-holdings-building-24347_sm.jpg,Sunrise Legend,Complete
https://propsearch.ae/dubai/syann-park-1,https://static.propsearch.ae/dubai-locations/syann-park-1-14620_sm.jpg,Syann Park 1,Complete
https://propsearch.ae/dubai/takmeel-building,https://static.propsearch.ae/dubai-locations/takmeel-building-24396_sm.jpg,Takmeel Building,Under development
https://propsearch.ae/dubai/the-light-commercial-tower,https://static.propsearch.ae/dubai-locations/the-light-commercial-tower-14557_sm.jpg,The Light Commercial Tower,Complete
https://propsearch.ae/dubai/the-lily-at-barsha-south,https://static.propsearch.ae/dubai-locations/the-lily-at-barsha-south-14588_sm.jpg,The Lily at Barsha South,Complete
https://propsearch.ae/dubai/the-v-arjan,https://static.propsearch.ae/dubai-locations/arjan-glass-building-14604_sm.jpg,The V Arjan,Complete
https://propsearch.ae/dubai/the-wings-by-al-mizan,https://static.propsearch.ae/dubai-locations/the-wings-by-al-mizan-24366_sm.jpg,The Wings by Al Mizan,Complete
https://propsearch.ae/dubai/uniestate-supreme-residence,https://static.propsearch.ae/dubai-locations/untitled-plot-6731265-24332_sm.jpg,Uniestate Supreme Residence,Under development (On hold)
https://propsearch.ae/dubai/untitled-arjan-commercial-building,https://static.propsearch.ae/dubai-locations/unknown-arjan-commercial-retial-building-14615_sm.jpg,Untitled Arjan Commercial Building,Complete
https://propsearch.ae/dubai/untitled-plot-6730894,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6730894,Under development
https://propsearch.ae/dubai/untitled-plot-6730911,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6730911,Under development
https://propsearch.ae/dubai/untitled-plot-6730917,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6730917,Under development
https://propsearch.ae/dubai/untitled-plot-6730919,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6730919,Under development
https://propsearch.ae/dubai/untitled-plot-6730939,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6730939,Under development (On hold)
https://propsearch.ae/dubai/untitled-plot-673-1019,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 673-1019,Under development
https://propsearch.ae/dubai/untitled-plot-6731027,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6731027,Planned (Cancelled)
https://propsearch.ae/dubai/untitled-plot-673-1031,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 673-1031,Under development (On hold)
https://propsearch.ae/dubai/untitled-plot-6731103,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6731103,Under development (Cancelled)
https://propsearch.ae/dubai/untitled-plot-6731184,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6731184,Under development (In progress)
https://propsearch.ae/dubai/untitled-plot-6731200,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6731200,Under development
https://propsearch.ae/dubai/untitled-plot-673-1208,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 673-1208,Under development
https://propsearch.ae/dubai/untitled-plot-6731209,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6731209,Under development
https://propsearch.ae/dubai/untitled-plot-6731216,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6731216,Under development
https://propsearch.ae/dubai/untitled-plot-6731258,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6731258,Under development (On hold)
https://propsearch.ae/dubai/untitled-plot-6731266,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6731266,Under development
https://propsearch.ae/dubai/untitled-plot-6731267,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6731267,Under development
https://propsearch.ae/dubai/untitled-plot-6731300,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6731300,Under development
https://propsearch.ae/dubai/untitled-plot-673-1301,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 673-1301,Planned
https://propsearch.ae/dubai/untitled-plot-6731303,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6731303,Under development
https://propsearch.ae/dubai/untitled-plot-6731311,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6731311,Under development
https://propsearch.ae/dubai/untitled-plot-6734017,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 6734017,Under development
