tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/commercial-residential-tower-plot-3460763,https://static.propsearch.ae/dubai-locations/commercial-residential-tower-plot-3460763-28516_sm.jpg,Commercial & Residential Tower Plot 3460763,Business Bay,Under development
https://propsearch.ae/dubai/coral-tower,https://static.propsearch.ae/photos/dubai/buildings/coral-tower-843_sm.jpg,Coral Tower,Business Bay,Complete
https://propsearch.ae/dubai/corporate-bay-tower,https://static.propsearch.ae/dubai-locations/corporate-bay-tower-26537_sm.jpg,Corporate Bay Tower,Business Bay,Under development
https://propsearch.ae/dubai/crowne-plaza-business-bay,https://static.propsearch.ae/dubai-locations/crowne-plaza-business-bay-28613_sm.jpg,Crowne Plaza Business Bay,Business Bay,Under development (On hold)
https://propsearch.ae/dubai/damac-business-tower,https://static.propsearch.ae/photos/dubai/buildings/damac-business-tower-771_sm.jpg,Damac Business Tower,Business Bay,Complete
https://propsearch.ae/dubai/damac-maison-bays-edge,https://static.propsearch.ae/photos/dubai/buildings/bays-edge-10007_sm.jpg,Damac Maison Bay's Edge,Business Bay,Complete
https://propsearch.ae/dubai/damac-maison-canal-views,https://static.propsearch.ae/dubai-locations/damac-maison-canal-views-19222_sm.jpg,Damac Maison Canal Views,Business Bay,Complete
https://propsearch.ae/dubai/damac-maison-cour-jardin,https://static.propsearch.ae/photos/dubai/buildings/the-cosmopolitan-744_sm.jpg,Damac Maison Cour Jardin,Business Bay,Complete
https://propsearch.ae/dubai/damac-maison-majestine,https://static.propsearch.ae/dubai-locations/damac-maison-majestine-14881_sm.jpg,Damac Maison Majestine,Business Bay,Complete
https://propsearch.ae/dubai/damac-maison-prive,https://static.propsearch.ae/dubai-locations/damac-maison-prive-19200_sm.jpg,Damac Maison Privé,Business Bay,Complete
https://propsearch.ae/dubai/damac-maison-the-voleo,https://static.propsearch.ae/dubai-locations/damac-maison-the-voleo-14862_sm.jpg,Damac Maison The Voleo,Business Bay,Complete
https://propsearch.ae/dubai/damac-towers-by-paramount,https://static.propsearch.ae/dubai-locations/damac-towers-by-paramount-19719_sm.jpg,Damac Towers by Paramount,Business Bay,Complete
https://propsearch.ae/dubai/dec-business-tower,https://static.propsearch.ae/dubai-locations/dec-business-tower-22140_sm.jpg,DEC Business Tower,Business Bay,Under development (On hold)
https://propsearch.ae/dubai/dnata-building,https://static.propsearch.ae/photos/dubai/buildings/dnata-building-13291_sm.jpg,Dnata Building,Business Bay,Complete
https://propsearch.ae/dubai/dolphin-tower,https://static.propsearch.ae/dubai-locations/dolphin-tower-26490_sm.jpg,Dolphin Tower,Business Bay,Under development
https://propsearch.ae/dubai/dorchester-hotel-dubai,https://static.propsearch.ae/dubai-locations/dorchester-hotel-dubai-28550_sm.jpg,Dorchester Hotel Dubai,Business Bay,Under development
https://propsearch.ae/dubai/doubletree-by-hilton-business-bay,https://static.propsearch.ae/dubai-locations/doubletree-by-hilton-business-bay-14885_sm.jpg,DoubleTree by Hilton Business Bay,Bay Square,Complete
https://propsearch.ae/dubai/dream-bay,https://static.propsearch.ae/photos/dubai/buildings/dream-bay-2560_sm.jpg,Dream Bay,Business Bay,Under development (On hold)
https://propsearch.ae/dubai/dubawi-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Dubawi Tower,Business Bay,Envisioned
https://propsearch.ae/dubai/elite-business-bay,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Elite Business Bay,Business Bay,Complete
https://propsearch.ae/dubai/emirates-holidays-building,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Emirates Holidays Building,Business Bay,Complete
https://propsearch.ae/dubai/empire-heights,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Empire Heights,Business Bay,Complete
https://propsearch.ae/dubai/enbd-hotel-apartments,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",ENBD Hotel Apartments,Business Bay,Envisioned
https://propsearch.ae/dubai/eni-star-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",ENI Star Tower,Business Bay,Under development (On hold)
https://propsearch.ae/dubai/escape-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Escape Tower,Business Bay,Complete
https://propsearch.ae/dubai/exchange-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Exchange Tower,Business Bay,Complete
https://propsearch.ae/dubai/executive-bay,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Executive Bay,Business Bay,Complete
https://propsearch.ae/dubai/executive-towers,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Executive Towers,Business Bay,Complete
https://propsearch.ae/dubai/exponenta-business-center,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Exponenta Business Center,M Hotel Downtown by Millennium Dubai,Complete
https://propsearch.ae/dubai/fairview-residency,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Fairview Residency,Business Bay,Complete
https://propsearch.ae/dubai/falcon-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Falcon Tower,Business Bay,Complete
https://propsearch.ae/dubai/fifty-one-at-business-bay,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Fifty One @ Business Bay,Business Bay,Complete
https://propsearch.ae/dubai/flame-towers,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Flame Towers,Business Bay,Under development (On hold)
