tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-status
https://propsearch.ae/dubai/radisson-blu-hotel-dubai-waterfront,https://static.propsearch.ae/dubai-locations/radisson-blu-hotel-dubai-waterfront-19184_sm.jpg,Radisson Blu Hotel Dubai Waterfront,Complete
https://propsearch.ae/dubai/ramee-grand-hotel-spa,https://static.propsearch.ae/dubai-locations/ramee-grand-hotel-spa-28593_sm.jpg,Ramee Grand Hotel & Spa,Under development
https://propsearch.ae/dubai/rasasi-tower-1,https://static.propsearch.ae/dubai-locations/rasasi-tower-1-14784_sm.jpg,Rasasi Tower 1,Envisioned
https://propsearch.ae/dubai/rasasi-tower-2,https://static.propsearch.ae/photos/dubai/buildings/rasasi-tower-2-10711_sm.jpg,Rasasi Tower 2,Envisioned
https://propsearch.ae/dubai/regalia,https://static.propsearch.ae/dubai-locations/regalia_DZjaI_sm.jpg,Regalia,Planned
https://propsearch.ae/dubai/regal-tower,https://static.propsearch.ae/photos/dubai/buildings/the-regal-tower-2311_sm.jpg,Regal Tower,Complete
https://propsearch.ae/dubai/renaissance-hotel-business-bay,https://static.propsearch.ae/dubai-locations/renaissance-hotel-business-bay-19190_sm.jpg,Renaissance Hotel Business Bay,Complete
https://propsearch.ae/dubai/residence-110,https://static.propsearch.ae/dubai-locations/residence-110-19344_sm.jpg,Residence 110,Complete
https://propsearch.ae/dubai/residence-22,https://static.propsearch.ae/photos/dubai/buildings/residence-22-8705_sm.jpg,Residence 22,Complete
https://propsearch.ae/dubai/reva-by-damac,https://static.propsearch.ae/dubai-locations/reva-by-damac-28605_sm.jpg,Reva by Damac,Under development
https://propsearch.ae/dubai/ritz-carlton-hotel-apartments,https://static.propsearch.ae/dubai-locations/ritz-carlton-hotel-apartments-28528_sm.jpg,Ritz Carlton Hotel Apartments,Under development
https://propsearch.ae/dubai/royal-continental-suites,https://static.propsearch.ae/dubai-locations/royal-continental-suites-22161_sm.jpg,Royal Continental Suites,Complete
https://propsearch.ae/dubai/rp-one,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,RP One,Envisioned
https://propsearch.ae/dubai/safeer-tower-1,https://static.propsearch.ae/photos/dubai/buildings/safeer-tower-1-10730_sm.jpg,Safeer Tower 1,Complete
https://propsearch.ae/dubai/safeer-tower-2,https://static.propsearch.ae/photos/dubai/buildings/safeer-tower-2-12562_sm.jpg,Safeer Tower 2,Complete
https://propsearch.ae/dubai/safeer-tower-3,https://static.propsearch.ae/dubai-locations/safeer-tower-3-28541_sm.jpg,Safeer Tower 3,Under development
https://propsearch.ae/dubai/signature-towers,https://static.propsearch.ae/photos/dubai/buildings/signature-towers-2085_sm.jpg,Signature Towers,Envisioned
https://propsearch.ae/dubai/silver-star-tower,https://static.propsearch.ae/photos/dubai/buildings/silver-star-tower-2138_sm.jpg,Silver Star Tower,Under development (Cancelled)
https://propsearch.ae/dubai/silver-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Silver Tower,Complete
https://propsearch.ae/dubai/single-business-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Single Business Tower,Complete
https://propsearch.ae/dubai/sky-bay-hotel,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Sky Bay Hotel,Under development
https://propsearch.ae/dubai/sky-scraper,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Sky Scraper,Under development (On hold)
https://propsearch.ae/dubai/sls-dubai-hotels-residences,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",SLS Dubai Hotels & Residences,Complete
https://propsearch.ae/dubai/sobha-ivory-tower-1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Sobha Ivory Tower 1,Complete
https://propsearch.ae/dubai/sobha-ivory-tower-2,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Sobha Ivory Tower 2,Complete
