tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/15-northside,https://static.propsearch.ae/dubai-locations/15-northside-28551_sm.jpg,15 Northside,Business Bay,Under development (In progress)
https://propsearch.ae/dubai/ag-tower-business-bay,https://static.propsearch.ae/dubai-locations/ag-tower-business-bay-28560_sm.jpg,AG Tower Business Bay,Business Bay,Under development
https://propsearch.ae/dubai/ahad-residences,https://static.propsearch.ae/dubai-locations/ahad-residences-28628_sm.jpg,Ahad Residences,Business Bay,Under development
https://propsearch.ae/dubai/al-batha-tower,https://static.propsearch.ae/dubai-locations/al-batha-tower-22202_sm.jpg,Al Batha Tower,Business Bay,Complete
https://propsearch.ae/dubai/al-habtoor-tennis-academy,https://static.propsearch.ae/dubai-locations/al-habtoor-tennis-academy-19684_sm.jpg,Al Habtoor Tennis Academy,Al Habtoor City,Complete
https://propsearch.ae/dubai/al-madar-scala-tower,https://static.propsearch.ae/photos/dubai/buildings/scala-tower-865_sm.jpg,Al Madar Scala Tower,Business Bay,Complete
https://propsearch.ae/dubai/al-manara-tower,https://static.propsearch.ae/dubai-locations/al-manara-tower-19695_sm.jpg,Al Manara Tower,Business Bay,Complete
https://propsearch.ae/dubai/al-mur-tower,https://static.propsearch.ae/photos/dubai/buildings/al-mur-tower-9315_sm.jpg,Al Mur Tower,Business Bay,Planned
https://propsearch.ae/dubai/al-noor-tower-business-bay,https://static.propsearch.ae/dubai-locations/al-noor-tower-business-bay-26470_sm.jpg,Al Noor Tower Business Bay,Business Bay,Complete
https://propsearch.ae/dubai/al-shafar-residences,https://static.propsearch.ae/photos/dubai/buildings/al-shafar-residences-2597_sm.jpg,Al Shafar Residences,Business Bay,Complete
https://propsearch.ae/dubai/alsuwaidi-four-star-hotel,https://static.propsearch.ae/dubai-locations/alsuwaidi-four-star-hotel-26506_sm.jpg,Alsuwaidi Four Star Hotel,Business Bay,Under development (On hold)
https://propsearch.ae/dubai/al-zarouni-hotel-apartments,https://static.propsearch.ae/dubai-locations/al-zarouni-hotel-apartments-28546_sm.jpg,Al Zarouni Hotel Apartments,Business Bay,Under development (On hold)
https://propsearch.ae/dubai/amna-tower,https://static.propsearch.ae/dubai-locations/amna-tower-22350_sm.jpg,Amna Tower,Al Habtoor City,Under development
https://propsearch.ae/dubai/art-14,https://static.propsearch.ae/dubai-locations/art-14-28604_sm.jpg,Art 14,Business Bay,Complete
https://propsearch.ae/dubai/art-15,https://static.propsearch.ae/photos/dubai/buildings/art-xv-10747_sm.jpg,Art 15,Business Bay,Complete
https://propsearch.ae/dubai/art-18,https://static.propsearch.ae/dubai-locations/art-18-26507_sm.jpg,Art 18,Business Bay,Complete
