tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/vida-downtown-dubai,https://static.propsearch.ae/photos/dubai/buildings/vida-downtown-dubai-10030_sm.jpg,Vida Downtown Dubai,Downtown Dubai,Complete
https://propsearch.ae/dubai/vida-residence,https://static.propsearch.ae/dubai-locations/vida-residence-19177_sm.jpg,Vida Residence,Downtown Dubai,Complete
https://propsearch.ae/dubai/vida-residences-dubai-mall,https://static.propsearch.ae/dubai-locations/vida-residences-dubai-mall-28586_sm.jpg,Vida Residences Dubai Mall,Downtown Dubai,Under development
https://propsearch.ae/dubai/vida-residences-dubai-opera,https://static.propsearch.ae/dubai-locations/vida-residences-dubai-opera-26933_sm.jpg,Vida Residences Dubai Opera,The Opera District,Under development
https://propsearch.ae/dubai/vizir-downtown,https://static.propsearch.ae/dubai-locations/vizir-downtown-28582_sm.jpg,Vizir Downtown,Downtown Dubai,Under development (On hold)
https://propsearch.ae/dubai/yansoon-1,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Yansoon 1,Yansoon,Complete
https://propsearch.ae/dubai/yansoon-2,https://static.propsearch.ae/photos/dubai/buildings/yansoon-2-3092_sm.jpg,Yansoon 2,Yansoon,Complete
https://propsearch.ae/dubai/yansoon-3,https://static.propsearch.ae/photos/dubai/buildings/yansoon-3-3093_sm.jpg,Yansoon 3,Yansoon,Complete
https://propsearch.ae/dubai/yansoon-4,https://static.propsearch.ae/photos/dubai/buildings/yansoon-4-3094_sm.jpg,Yansoon 4,Yansoon,Complete
https://propsearch.ae/dubai/yansoon-5,https://static.propsearch.ae/photos/dubai/buildings/yansoon-5-3095_sm.jpg,Yansoon 5,Yansoon,Complete
https://propsearch.ae/dubai/yansoon-6,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Yansoon 6,Yansoon,Complete
https://propsearch.ae/dubai/yansoon-7,https://static.propsearch.ae/photos/dubai/buildings/yansoon-7-3096_sm.jpg,Yansoon 7,Yansoon,Complete
https://propsearch.ae/dubai/yansoon-8,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Yansoon 8,Yansoon,Complete
https://propsearch.ae/dubai/yansoon-9,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Yansoon 9,Yansoon,Complete
https://propsearch.ae/dubai/zaafaran-1,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Zaafaran 1,Zaafaran,Complete
https://propsearch.ae/dubai/zaafaran-2,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Zaafaran 2,Zaafaran,Complete
https://propsearch.ae/dubai/zaafaran-3,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Zaafaran 3,Zaafaran,Complete
https://propsearch.ae/dubai/zaafaran-4,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Zaafaran 4,Zaafaran,Complete
https://propsearch.ae/dubai/zaafaran-5,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Zaafaran 5,Zaafaran,Complete
https://propsearch.ae/dubai/zanzebeel-1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Zanzebeel 1,Zanzabeel,Complete
https://propsearch.ae/dubai/zanzebeel-2,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Zanzebeel 2,Zanzabeel,Complete
https://propsearch.ae/dubai/zanzebeel-3,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Zanzebeel 3,Zanzabeel,Complete
https://propsearch.ae/dubai/zanzebeel-4,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Zanzebeel 4,Zanzabeel,Complete
