tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/29-burj-dubai-boulevard,https://static.propsearch.ae/photos/dubai/buildings/29-burj-dubai-boulevard-205_sm.jpg,29 Burj Dubai Boulevard,Downtown Dubai,Complete
https://propsearch.ae/dubai/48-burj-gate,https://static.propsearch.ae/photos/dubai/buildings/48-burj-gate-complex-11823_sm.jpg,48 Burj Gate,Downtown Dubai,Complete
https://propsearch.ae/dubai/8-boulevard-walk,https://static.propsearch.ae/photos/dubai/buildings/8-boulevard-walk-334_sm.jpg,8 Boulevard Walk,Downtown Dubai,Complete
https://propsearch.ae/dubai/act-towers,https://static.propsearch.ae/dubai-locations/act-towers-28647_sm.jpg,Act Towers,The Opera District,Under development
https://propsearch.ae/dubai/address-boulevard,https://static.propsearch.ae/photos/dubai/buildings/address-boulevard-10072_sm.jpg,Address Boulevard,Downtown Dubai,Complete
https://propsearch.ae/dubai/adventz-tower,https://static.propsearch.ae/dubai-locations/adventz-tower-26666_sm.jpg,Adventz Tower,Downtown Dubai,Under development (On hold)
https://propsearch.ae/dubai/al-hikma-tower,https://static.propsearch.ae/dubai-locations/al-hikma-tower-22214_sm.jpg,Al Hikma Tower,Downtown Dubai,Under development
https://propsearch.ae/dubai/al-manzil-souk,https://static.propsearch.ae/photos/dubai/buildings/al-manzil-souk-3078_sm.jpg,Al Manzil Souk,Old Town,Complete
https://propsearch.ae/dubai/al-murooj-complex,https://static.propsearch.ae/photos/dubai/buildings/al-murooj-complex-9356_sm.jpg,Al Murooj Complex,Downtown Dubai,Complete
https://propsearch.ae/dubai/al-nahar-tower,https://static.propsearch.ae/photos/dubai/buildings/al-nahar-tower-5329_sm.jpg,Al Nahar Tower,Downtown Dubai,Planned
https://propsearch.ae/dubai/al-saaha-offices,https://static.propsearch.ae/photos/dubai/buildings/al-saaha-offices-1016_sm.jpg,Al Saaha Offices,Old Town,Complete
https://propsearch.ae/dubai/al-tajer-residences,https://static.propsearch.ae/photos/dubai/buildings/al-tajer-residences-861_sm.jpg,Al Tajer Residences,Old Town,Complete
https://propsearch.ae/dubai/attareen-residences,https://static.propsearch.ae/photos/dubai/buildings/attareen-residence-862_sm.jpg,Attareen Residences,Old Town,Complete
https://propsearch.ae/dubai/bahwan-tower-downtown,https://static.propsearch.ae/dubai-locations/bahwan-tower-downtown-19174_sm.jpg,Bahwan Tower Downtown,Downtown Dubai,Complete
https://propsearch.ae/dubai/bellevue-towers,https://static.propsearch.ae/dubai-locations/bellevue-towers-28616_sm.jpg,Bellevue Towers,Downtown Dubai,Under development
https://propsearch.ae/dubai/boulevard-47,https://static.propsearch.ae/photos/dubai/buildings/boulevard-47-6478_sm.jpg,Boulevard 47,Downtown Dubai,Planned
https://propsearch.ae/dubai/boulevard-central,https://static.propsearch.ae/photos/dubai/buildings/boulevard-central-363_sm.jpg,Boulevard Central,Downtown Dubai,Complete
https://propsearch.ae/dubai/boulevard-crescent,https://static.propsearch.ae/dubai-locations/boulevard-crescent-22245_sm.jpg,Boulevard Crescent,Downtown Dubai,Complete
https://propsearch.ae/dubai/boulevard-heights,https://static.propsearch.ae/dubai-locations/boulevard-heights-26547_sm.jpg,Boulevard Heights,Downtown Dubai,Complete
https://propsearch.ae/dubai/boulevard-plaza,https://static.propsearch.ae/photos/dubai/buildings/boulevard-plaza-9414_sm.jpg,Boulevard Plaza,Downtown Dubai,Complete
https://propsearch.ae/dubai/boulevard-point,https://static.propsearch.ae/dubai-locations/boulevard-point-26884_sm.jpg,Boulevard Point,Downtown Dubai,Complete
https://propsearch.ae/dubai/burj-al-nujoom,https://static.propsearch.ae/photos/dubai/buildings/burj-al-nujoom-5344_sm.jpg,Burj Al Nujoom,Downtown Dubai,Complete
https://propsearch.ae/dubai/burj-crown,https://static.propsearch.ae/dubai-locations/burj-crown-28641_sm.jpg,Burj Crown,Downtown Dubai,Under development (In progress)
https://propsearch.ae/dubai/burj-khalifa,https://static.propsearch.ae/photos/dubai/buildings/burj-khalifa-209_sm.jpg,Burj Khalifa,Downtown Dubai,Complete
https://propsearch.ae/dubai/burj-royale,https://static.propsearch.ae/dubai-locations/burj-royale-28579_sm.jpg,Burj Royale,Downtown Dubai,Under development
https://propsearch.ae/dubai/burj-view-towers,https://static.propsearch.ae/photos/dubai/buildings/burj-view-towers-5347_sm.jpg,Burj View Towers,Downtown Dubai,Complete
https://propsearch.ae/dubai/burj-vista,https://static.propsearch.ae/dubai-locations/burj-vista-22221_sm.jpg,Burj Vista,Downtown Dubai,Complete
https://propsearch.ae/dubai/claren-towers,https://static.propsearch.ae/photos/dubai/buildings/claren-towers-6473_sm.jpg,Claren Towers,Downtown Dubai,Complete
https://propsearch.ae/dubai/damac-maison-dubai-mall-street,https://static.propsearch.ae/photos/dubai/buildings/damac-maison-584_sm.jpg,Damac Maison Dubai Mall Street,Downtown Dubai,Complete
https://propsearch.ae/dubai/damac-maison-royale-the-distinction,https://static.propsearch.ae/photos/dubai/buildings/damac-maison-royale-the-distinction-12497_sm.jpg,Damac Maison Royale The Distinction,Downtown Dubai,Complete
https://propsearch.ae/dubai/damac-maison-upper-crest,https://static.propsearch.ae/dubai-locations/damac-maison-upper-crest-16264_sm.jpg,Damac Maison Upper Crest,Downtown Dubai,Complete
https://propsearch.ae/dubai/downtown-mosque,https://static.propsearch.ae/photos/dubai/buildings/downtown-mosque-5062_sm.jpg,Downtown Mosque,Downtown Dubai,Complete
https://propsearch.ae/dubai/downtown-views,https://static.propsearch.ae/dubai-locations/downtown-views-26719_sm.jpg,Downtown Views,Downtown Dubai,Under development
https://propsearch.ae/dubai/downtown-views-ii,https://static.propsearch.ae/dubai-locations/downtown-views-ii-26717_sm.jpg,Downtown Views II,Downtown Dubai,Under development
https://propsearch.ae/dubai/dt1,https://static.propsearch.ae/dubai-locations/dt1-28642_sm.jpg,DT1,Downtown Dubai,Under development
https://propsearch.ae/dubai/dubai-mall,https://static.propsearch.ae/dubai-locations/dubai-mall-18193_sm.jpg,Dubai Mall,Downtown Dubai,Complete
https://propsearch.ae/dubai/dubai-opera,https://static.propsearch.ae/dubai-locations/dubai-opera-13601_sm.jpg,Dubai Opera,The Opera District,Complete
https://propsearch.ae/dubai/dunya-tower,https://static.propsearch.ae/dubai-locations/dunya-tower-28584_sm.jpg,Dunya Tower,Downtown Dubai,Complete
https://propsearch.ae/dubai/elite-downtown-residences,https://static.propsearch.ae/dubai-locations/elite-downtown-residences-28615_sm.jpg,Elite Downtown Residences,Downtown Dubai,Under development
https://propsearch.ae/dubai/emaar-square,https://static.propsearch.ae/photos/dubai/buildings/emaar-square-708_sm.jpg,Emaar Square,Downtown Dubai,Complete
https://propsearch.ae/dubai/enoc-commercial-tower,https://static.propsearch.ae/photos/dubai/buildings/enoc-commercial-tower-13409_sm.jpg,ENOC Commercial Tower,Downtown Dubai,Envisioned
https://propsearch.ae/dubai/fl2-holdings-towers,https://static.propsearch.ae/dubai-locations/fl2-holdings-towers-28625_sm.jpg,FL2 Holdings Towers,Downtown Dubai,Under development (On hold)
https://propsearch.ae/dubai/forte,https://static.propsearch.ae/dubai-locations/forte-28640_sm.jpg,Forte,Downtown Dubai,Under development
https://propsearch.ae/dubai/ggico-downtown-hotel,https://static.propsearch.ae/photos/dubai/buildings/ggico-downtown-hotel-6817_sm.jpg,GGICO Downtown Hotel,Downtown Dubai,Planned
https://propsearch.ae/dubai/grande-at-the-opera-district,https://static.propsearch.ae/dubai-locations/grande-at-the-opera-district-28646_sm.jpg,Grande at The Opera District,The Opera District,Under development
https://propsearch.ae/dubai/hl-group-hotel,https://static.propsearch.ae/dubai-locations/hl-group-hotel-28589_sm.jpg,HL Group Hotel,Downtown Dubai,Under development
https://propsearch.ae/dubai/hsbc-headquarters,https://static.propsearch.ae/dubai-locations/hsbc-headquarters-16919_sm.jpg,HSBC Headquarters,Downtown Dubai,Complete
https://propsearch.ae/dubai/hydra-downtown-tower,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Hydra Downtown Tower,Downtown Dubai,Under development (Cancelled)
https://propsearch.ae/dubai/il-primo,https://static.propsearch.ae/dubai-locations/il-primo-26706_sm.jpg,Il Primo,The Opera District,Under development
https://propsearch.ae/dubai/il-primo-tower-b,https://static.propsearch.ae/photos/dubai/buildings/il-primo-tower-b-9460_sm.jpg,Il Primo Tower B,Downtown Dubai,Under development (Cancelled)
