tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/17-icon-bay,https://static.propsearch.ae/dubai-locations/17-icon-bay-26637_sm.jpg,17 Icon Bay,Creek Island,Under development
https://propsearch.ae/dubai/address-harbour-point,https://static.propsearch.ae/dubai-locations/address-harbour-point-26619_sm.jpg,Address Harbour Point,Creek Island,Under development
https://propsearch.ae/dubai/bayshore-at-creek-beach,https://static.propsearch.ae/dubai-locations/bayshore-at-creek-beach-14300_sm.jpg,Bayshore at Creek Beach,Creek Beach,Under development
https://propsearch.ae/dubai/breeze-at-creek-beach,https://static.propsearch.ae/dubai-locations/breeze-at-creek-beach-23142_sm.jpg,Breeze at Creek Beach,Creek Beach,Under development
https://propsearch.ae/dubai/creek-edge,https://static.propsearch.ae/dubai-locations/creek-edge-16126_sm.jpg,Creek Edge,Creek Island,Under development
https://propsearch.ae/dubai/creek-horizon,https://static.propsearch.ae/dubai-locations/creek-horizon-26798_sm.jpg,Creek Horizon,Creek Island,Under development (In progress)
https://propsearch.ae/dubai/creek-palace,https://static.propsearch.ae/dubai-locations/creek-palace-20136_sm.jpg,Creek Palace,Creek Island,Planned
https://propsearch.ae/dubai/creek-rise,https://static.propsearch.ae/dubai-locations/creek-rise-26799_sm.jpg,Creek Rise,Creek Island,Under development
https://propsearch.ae/dubai/creekside-18,https://static.propsearch.ae/dubai-locations/creekside-18-26641_sm.jpg,Creekside 18,Creek Island,Under development
https://propsearch.ae/dubai/dubai-creek-gate,https://static.propsearch.ae/dubai-locations/dubai-creek-gate-26800_sm.jpg,Dubai Creek Gate,Creek Island,Under development
https://propsearch.ae/dubai/dubai-creek-harbour-mall,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Dubai Creek Harbour Mall,Dubai Creek Harbour,Planned
https://propsearch.ae/dubai/dubai-creek-residences-north,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Dubai Creek Residences North,Creek Island,Complete
https://propsearch.ae/dubai/dubai-creek-residences-south,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Dubai Creek Residences South,Creek Island,Complete
https://propsearch.ae/dubai/dubai-creek-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Dubai Creek Tower,Dubai Creek Harbour,Under development (On hold)
https://propsearch.ae/dubai/dubai-twin-towers,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Dubai Twin Towers,Dubai Creek Harbour,Envisioned
https://propsearch.ae/dubai/harbour-gate,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Harbour Gate,Creek Island,Under development
https://propsearch.ae/dubai/harbour-views,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Harbour Views,Creek Island,Under development
https://propsearch.ae/dubai/island-park-1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Island Park 1,Creek Island,Planned
https://propsearch.ae/dubai/island-park-2,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Island Park 2,Creek Island,Planned
https://propsearch.ae/dubai/palace-residences,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Palace Residences,Creek Island,Under development
https://propsearch.ae/dubai/summer-at-creek-beach,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Summer at Creek Beach,Creek Beach,Under development
https://propsearch.ae/dubai/sunset-at-creek-beach,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Sunset at Creek Beach,Creek Beach,Under development
https://propsearch.ae/dubai/surf-at-creek-beach,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Surf at Creek Beach,Creek Beach,Under development
https://propsearch.ae/dubai/the-cove,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",The Cove,Creek Island,Under development
https://propsearch.ae/dubai/the-grand-at-dubai-creek-harbour,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",The Grand at Dubai Creek Harbour,Creek Island,Under development
https://propsearch.ae/dubai/vida-creek-harbour,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Vida Creek Harbour,Creek Island,Complete
https://propsearch.ae/dubai/vida-residences-creek-beach,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Vida Residences Creek Beach,Creek Beach,Under development
