tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/acacia-at-park-heights-a,https://static.propsearch.ae/photos/dubai/buildings/acacia-at-park-heights-a-5204_sm.jpg,Acacia at Park Heights A,Park Heights,Complete
https://propsearch.ae/dubai/acacia-at-park-heights-b,https://static.propsearch.ae/photos/dubai/buildings/acacia-at-park-heights-b-5203_sm.jpg,Acacia at Park Heights B,Park Heights,Complete
https://propsearch.ae/dubai/acacia-at-park-heights-c,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Acacia at Park Heights C,Park Heights,Complete
https://propsearch.ae/dubai/al-ansari-residences,https://static.propsearch.ae/photos/dubai/buildings/al-ansari-residences-10155_sm.jpg,Al Ansari Residences,Dubai Hills Estate,Envisioned
https://propsearch.ae/dubai/collective-20,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Collective 2.0,Dubai Hills Estate,Under development
https://propsearch.ae/dubai/collective-at-dubai-hills-estate,https://static.propsearch.ae/dubai-locations/collective-at-dubai-hills-estate-26024_sm.jpg,Collective at Dubai Hills Estate,Dubai Hills Estate,Under development
https://propsearch.ae/dubai/dubai-hills-business-park-building-1,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Dubai Hills Business Park Building 1,Dubai Hills Business Park,Complete
https://propsearch.ae/dubai/dubai-hills-business-park-building-2,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Dubai Hills Business Park Building 2,Dubai Hills Business Park,Complete
https://propsearch.ae/dubai/dubai-hills-business-park-building-3,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Dubai Hills Business Park Building 3,Dubai Hills Business Park,Complete
https://propsearch.ae/dubai/dubai-hills-business-park-building-4,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Dubai Hills Business Park Building 4,Dubai Hills Business Park,Complete
https://propsearch.ae/dubai/dubai-hills-mall-hotel,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Dubai Hills Mall Hotel,Dubai Hills Estate,Envisioned
https://propsearch.ae/dubai/dubai-hills-mall-residence,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Dubai Hills Mall Residence,Dubai Hills Estate,Envisioned
https://propsearch.ae/dubai/executive-residences,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Executive Residences,Park Ridge,Planned
https://propsearch.ae/dubai/golf-suites-at-dubai-hills,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Golf Suites at Dubai Hills,Dubai Hills Estate,Under development
https://propsearch.ae/dubai/golfville,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Golfville,Dubai Hills Estate,Planned
https://propsearch.ae/dubai/green-square,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Green Square,Park Ridge,Under development
https://propsearch.ae/dubai/mulberry-at-park-heights-1-block-a,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Mulberry at Park Heights 1 Block A,Park Heights,Complete
https://propsearch.ae/dubai/mulberry-at-park-heights-1-block-b,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Mulberry at Park Heights 1 Block B,Park Heights,Complete
https://propsearch.ae/dubai/mulberry-at-park-heights-2-block-a,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Mulberry at Park Heights 2 Block A,Park Heights,Complete
https://propsearch.ae/dubai/mulberry-at-park-heights-2-block-b,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Mulberry at Park Heights 2 Block B,Park Heights,Complete
https://propsearch.ae/dubai/park-heights-1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Park Heights 1,Park Heights,Under development (In progress)
https://propsearch.ae/dubai/park-heights-2,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Park Heights 2,Park Heights,Under development
