tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/skyview-tower,https://static.propsearch.ae/photos/dubai/buildings/skyview-tower-7268_sm.jpg,Skyview Tower,Dubai Marina,Complete
https://propsearch.ae/dubai/sofitel-dubai-jumeirah-beach,https://static.propsearch.ae/photos/dubai/buildings/sofitel-dubai-jumeirah-beach-177_sm.jpg,Sofitel Dubai Jumeirah Beach,Jumeirah Beach Residence,Complete
https://propsearch.ae/dubai/sparkle-towers,https://static.propsearch.ae/dubai-locations/sparkle-towers-19030_sm.jpg,Sparkle Towers,Dubai Marina,Complete
https://propsearch.ae/dubai/stella-di-mare-hotel-resort,https://static.propsearch.ae/dubai-locations/stella-di-mare-hotel-resort-26211_sm.jpg,Stella Di Mare Hotel & Resort,Dubai Marina,Complete
https://propsearch.ae/dubai/stella-maris-tower,https://static.propsearch.ae/dubai-locations/stella-maris-tower_JfbDs_sm.jpg,Stella Maris Tower,Dubai Marina,Under development
https://propsearch.ae/dubai/studio-one,https://static.propsearch.ae/dubai-locations/studio-one-18985_sm.jpg,Studio One,Dubai Marina,Complete
https://propsearch.ae/dubai/sukoon-tower,https://static.propsearch.ae/photos/dubai/buildings/sukoon-tower-1078_sm.jpg,Sukoon Tower,Dubai Marina,Complete
https://propsearch.ae/dubai/sulafa-tower,https://static.propsearch.ae/photos/dubai/buildings/sulafa-tower-7976_sm.jpg,Sulafa Tower,Dubai Marina,Complete
https://propsearch.ae/dubai/tamani-marina-hotel,https://static.propsearch.ae/photos/dubai/buildings/tamani-hotel-marina-1719_sm.jpg,Tamani Marina Hotel,Dubai Marina,Complete
https://propsearch.ae/dubai/the-address-dubai-marina,https://static.propsearch.ae/photos/dubai/buildings/the-address-dubai-marina-219_sm.jpg,The Address Dubai Marina,Dubai Marina,Complete
https://propsearch.ae/dubai/the-atlantic,https://static.propsearch.ae/dubai-locations/the-atlantic-20584_sm.jpg,The Atlantic,Dubai Marina,Complete
