tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/106-tower,https://static.propsearch.ae/dubai-locations/106-tower-18244_sm.jpg,106 Tower,Dubai Marina,Under development (On hold)
https://propsearch.ae/dubai/23-marina,https://static.propsearch.ae/photos/dubai/buildings/23-marina-329_sm.jpg,23 Marina,Dubai Marina,Complete
https://propsearch.ae/dubai/address-beach-resort,https://static.propsearch.ae/dubai-locations/address-beach-resort-26888_sm.jpg,Address Beach Resort,Jumeirah Beach Residence,Complete
https://propsearch.ae/dubai/aka-marina-hotel-residences,https://static.propsearch.ae/photos/dubai/buildings/aka-marina-hotel--residences-9591_sm.jpg,AKA Marina Hotel & Residences,Dubai Marina,Planned
https://propsearch.ae/dubai/al-bateen-towers,https://static.propsearch.ae/photos/dubai/buildings/al-bateen-towers-110_sm.jpg,Al Bateen Towers,Jumeirah Beach Residence,Complete
https://propsearch.ae/dubai/al-duaa-marina-tower,https://static.propsearch.ae/photos/dubai/buildings/al-duaa-marina-tower-2164_sm.jpg,Al Dua'a Marina Tower,Dubai Marina,Under development (Cancelled)
https://propsearch.ae/dubai/al-fattan-business-centre,https://static.propsearch.ae/photos/dubai/buildings/al-fattan-business-centre-1707_sm.jpg,Al Fattan Business Centre,Dubai Marina,Complete
https://propsearch.ae/dubai/al-fattan-marine-towers,https://static.propsearch.ae/photos/dubai/buildings/al-fattan-marine-towers-601_sm.jpg,Al Fattan Marine Towers,Jumeirah Beach Residence,Complete
https://propsearch.ae/dubai/al-habtoor-business-tower,https://static.propsearch.ae/photos/dubai/buildings/al-habtoor-business-tower-4774_sm.jpg,Al Habtoor Business Tower,Dubai Marina,Complete
https://propsearch.ae/dubai/al-habtoor-tower,https://static.propsearch.ae/photos/dubai/buildings/al-habtoor-tower-1006_sm.jpg,Al Habtoor Tower,Dubai Marina,Complete
https://propsearch.ae/dubai/al-husn-marina,https://static.propsearch.ae/photos/dubai/buildings/al-husn-marina-813_sm.jpg,Al Husn Marina,Dubai Marina,Complete
https://propsearch.ae/dubai/al-majara-towers,https://static.propsearch.ae/photos/dubai/buildings/al-majara-towers-435_sm.jpg,Al Majara Towers,Dubai Marina,Complete
https://propsearch.ae/dubai/al-sahab-towers,https://static.propsearch.ae/photos/dubai/buildings/al-sahab-towers-497_sm.jpg,Al Sahab Towers,Dubai Marina,Complete
https://propsearch.ae/dubai/al-seef-tower,https://static.propsearch.ae/photos/dubai/buildings/al-seef-tower-1714_sm.jpg,Al Seef Tower,Dubai Marina,Complete
https://propsearch.ae/dubai/al-sheebani-building,https://static.propsearch.ae/photos/dubai/buildings/al-sheebani-building-1030_sm.jpg,Al Sheebani Building,Dubai Marina,Complete
https://propsearch.ae/dubai/al-zarooni-complex,https://static.propsearch.ae/dubai-locations/al-zarooni-complex-16161_sm.jpg,Al Zarooni Complex,Dubai Marina,Complete
https://propsearch.ae/dubai/amwaj,https://static.propsearch.ae/photos/dubai/buildings/amwaj-159_sm.jpg,Amwaj,Jumeirah Beach Residence,Complete
https://propsearch.ae/dubai/amwaj-restaurant-building,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Amwaj Restaurant Building,Jumeirah Beach Residence,Complete
https://propsearch.ae/dubai/amwaj-rotana-hotel,https://static.propsearch.ae/photos/dubai/buildings/amwaj-rotana-hotel-165_sm.jpg,Amwaj Rotana Hotel,Jumeirah Beach Residence,Complete
https://propsearch.ae/dubai/ariyana-tower,https://static.propsearch.ae/photos/dubai/buildings/ariyana-tower-1720_sm.jpg,Ariyana Tower,Dubai Marina,Complete
https://propsearch.ae/dubai/ary-marina-views,https://static.propsearch.ae/photos/dubai/buildings/ary-marina-view-1005_sm.jpg,Ary Marina Views,Dubai Marina,Complete
https://propsearch.ae/dubai/azure,https://static.propsearch.ae/photos/dubai/buildings/azure-7241_sm.jpg,Azure,Dubai Marina,Complete
https://propsearch.ae/dubai/bahar,https://static.propsearch.ae/photos/dubai/buildings/bahar-1068_sm.jpg,Bahar,Jumeirah Beach Residence,Complete
https://propsearch.ae/dubai/barcelo-residences,https://static.propsearch.ae/dubai-locations/barcelo-residences-20183_sm.jpg,Barcelo Residences,Dubai Marina,Complete
https://propsearch.ae/dubai/bay-central,https://static.propsearch.ae/photos/dubai/buildings/bay-central-368_sm.jpg,Bay Central,Dubai Marina,Complete
https://propsearch.ae/dubai/bluewaters-island-mosque,https://static.propsearch.ae/dubai-locations/bluewaters-island-mosque-19097_sm.jpg,Bluewaters Island Mosque,Bluewaters Island,Complete
https://propsearch.ae/dubai/bluewaters-residence-1,https://static.propsearch.ae/dubai-locations/bluewaters-residence-1-19090_sm.jpg,Bluewaters Residence 1,Bluewaters Residences,Complete
https://propsearch.ae/dubai/bluewaters-residence-10,https://static.propsearch.ae/dubai-locations/bluewaters-residence-10-19081_sm.jpg,Bluewaters Residence 10,Bluewaters Residences,Complete
