tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-status
https://propsearch.ae/dubai/lake-point-tower,https://static.propsearch.ae/photos/dubai/buildings/lake-point-tower-520_sm.jpg,Lake Point Tower,Complete
https://propsearch.ae/dubai/lakeshore-tower,https://static.propsearch.ae/photos/dubai/buildings/lakeshore-tower-627_sm.jpg,Lakeshore Tower,Complete
https://propsearch.ae/dubai/lake-side-residence,https://static.propsearch.ae/photos/dubai/buildings/lakeside-residence-665_sm.jpg,Lake Side Residence,Complete
https://propsearch.ae/dubai/lake-terrace,https://static.propsearch.ae/dubai-locations/lake-terrace-13717_sm.jpg,Lake Terrace,Complete
https://propsearch.ae/dubai/lake-view,https://static.propsearch.ae/photos/dubai/buildings/lake-view-733_sm.jpg,Lake View,Complete
https://propsearch.ae/dubai/liberty-fe-trade-building,https://static.propsearch.ae/photos/dubai/buildings/liberty-fe-trade-building-11226_sm.jpg,Liberty FE Trade Building,Complete
https://propsearch.ae/dubai/liwa-heights,https://static.propsearch.ae/photos/dubai/buildings/liwa-heights-666_sm.jpg,LIWA Heights,Complete
https://propsearch.ae/dubai/madina-tower,https://static.propsearch.ae/photos/dubai/buildings/madina-tower-615_sm.jpg,Madina Tower,Complete
https://propsearch.ae/dubai/mag-214,https://static.propsearch.ae/photos/dubai/buildings/mag-214-676_sm.jpg,Mag 214,Complete
https://propsearch.ae/dubai/mag-towers-jlt,https://static.propsearch.ae/photos/dubai/buildings/mag-towers-jlt-6629_sm.jpg,Mag Towers JLT,Planned
https://propsearch.ae/dubai/mazaya-business-avenue,https://static.propsearch.ae/photos/dubai/buildings/mazaya-business-avenue-8188_sm.jpg,Mazaya Business Avenue,Complete
https://propsearch.ae/dubai/mbl-residence,https://static.propsearch.ae/dubai-locations/mbl-residence-20548_sm.jpg,MBL Residence,Under development
https://propsearch.ae/dubai/me-do-re-residential-tower,https://static.propsearch.ae/dubai-locations/me-do-re-residential-tower-20557_sm.jpg,Me Do Re Residential Tower,Under development
https://propsearch.ae/dubai/mohammed-ibrahim-tower,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Mohammed Ibrahim Tower,Complete
https://propsearch.ae/dubai/movenpick-hotel-jumeirah-lakes-towers,https://static.propsearch.ae/photos/dubai/buildings/mvenpick-hotel-jumeirah-lakes-towers-689_sm.jpg,Mövenpick Hotel Jumeirah Lakes Towers,Complete
https://propsearch.ae/dubai/nakheel-falcon-tower,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Nakheel Falcon Tower,Planned (Cancelled)
https://propsearch.ae/dubai/nakheel-flamingo-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Nakheel Flamingo Tower,Planned (Cancelled)
https://propsearch.ae/dubai/o2-residence,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",O2 Residence,Complete
https://propsearch.ae/dubai/one-jlt,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",One JLT,Complete
https://propsearch.ae/dubai/orra-jumeirah-lakes-living,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Orra Jumeirah Lakes Living,Under development (Progress slow)
https://propsearch.ae/dubai/platinum-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Platinum Tower,Complete
https://propsearch.ae/dubai/preatoni-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Preatoni Tower,Complete
https://propsearch.ae/dubai/pullman-jtl-hotel-residence,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Pullman JTL Hotel & Residence,Complete
https://propsearch.ae/dubai/red-diamond,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Red Diamond,Complete
https://propsearch.ae/dubai/reef-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Reef Tower,Complete
https://propsearch.ae/dubai/saba-1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Saba 1,Complete
https://propsearch.ae/dubai/saba-4-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Saba 4 Tower,Under development (On hold)
https://propsearch.ae/dubai/saba-towers,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Saba Towers,Complete
https://propsearch.ae/dubai/swiss-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Swiss Tower,Complete
https://propsearch.ae/dubai/taj-jumeirah-lakes-towers,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Taj Jumeirah Lakes Towers,Complete
https://propsearch.ae/dubai/tamweel-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Tamweel Tower,Complete
https://propsearch.ae/dubai/the-dome-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",The Dome Tower,Complete
https://propsearch.ae/dubai/the-jewellery-vault,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",The Jewellery Vault,Complete
https://propsearch.ae/dubai/the-palladium,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",The Palladium,Complete
https://propsearch.ae/dubai/tiffany-towers,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Tiffany Towers,Complete
https://propsearch.ae/dubai/uthman-ibn-affan-mosque,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Uthman Ibn 'Affan Mosque,Planned
https://propsearch.ae/dubai/v3-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",V3 Tower,Complete
https://propsearch.ae/dubai/vista-del-lago,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Vista Del Lago,Under development (On hold)
https://propsearch.ae/dubai/vue-de-lac-1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Vue De Lac 1,Under development (Cancelled)
https://propsearch.ae/dubai/vue-de-lac-2,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Vue De Lac 2,Under development (Cancelled)
https://propsearch.ae/dubai/wind-tower-1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Wind Tower 1,Under development (Progress slow)
https://propsearch.ae/dubai/wind-tower-2,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Wind Tower 2,Under development (Progress slow)
https://propsearch.ae/dubai/wisal-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Wisal Tower,Under development (In progress)
