tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-status
https://propsearch.ae/dubai/1-lake-plaza,https://static.propsearch.ae/photos/dubai/buildings/1-lake-plaza-630_sm.jpg,1 Lake Plaza,Complete
https://propsearch.ae/dubai/aarzee-jewellery-building,https://static.propsearch.ae/photos/dubai/buildings/aarzee-jewellery-building-11222_sm.jpg,Aarzee Jewellery Building,Complete
https://propsearch.ae/dubai/ag-tower,https://static.propsearch.ae/photos/dubai/buildings/ag-tower-919_sm.jpg,AG Tower,Complete
https://propsearch.ae/dubai/almas-tower,https://static.propsearch.ae/dubai-locations/almas-tower-18491_sm.jpg,Almas Tower,Complete
https://propsearch.ae/dubai/al-saqran-tower,https://static.propsearch.ae/dubai-locations/al-saqran-tower-27906_sm.jpg,Al Saqran Tower,Under development (On hold)
https://propsearch.ae/dubai/al-seef-towers,https://static.propsearch.ae/photos/dubai/buildings/al-seef-towers-427_sm.jpg,Al Seef Towers,Complete
https://propsearch.ae/dubai/al-shera-tower,https://static.propsearch.ae/photos/dubai/buildings/al-shera-tower-583_sm.jpg,Al Shera Tower,Complete
https://propsearch.ae/dubai/al-waleed-paradise,https://static.propsearch.ae/photos/dubai/buildings/al-waleed-paradise-801_sm.jpg,Al Waleed Paradise,Complete
https://propsearch.ae/dubai/amesco-tower,https://static.propsearch.ae/dubai-locations/amesco-tower-20544_sm.jpg,Amesco Tower,Under development (On hold)
https://propsearch.ae/dubai/anantara-towers-jlt,https://static.propsearch.ae/photos/dubai/buildings/anantara-towers-2219_sm.jpg,Anantara Towers JLT,Under development (Cancelled)
https://propsearch.ae/dubai/armada-towers,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Armada Towers,Complete
https://propsearch.ae/dubai/au-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",AU Tower,Complete
https://propsearch.ae/dubai/banyan-tree-residences,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Banyan Tree Residences,Complete
https://propsearch.ae/dubai/bobyan-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Bobyan Tower,Complete
