tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/shamal-waves-2,https://static.propsearch.ae/dubai-locations/shamal-waves-2-21897_sm.jpg,Shamal Waves 2,JVC District 14,Complete
https://propsearch.ae/dubai/shanghai-electric-dubai-residence,https://static.propsearch.ae/dubai-locations/shanghai-electric-dubai-residence-19143_sm.jpg,Shanghai Electric Dubai Residence,JVC District 13,Complete
https://propsearch.ae/dubai/signature-livings,https://static.propsearch.ae/dubai-locations/signature-livings-26334_sm.jpg,Signature Livings,JVC District 10,Under development
https://propsearch.ae/dubai/signature-villas-jvc,https://static.propsearch.ae/dubai-locations/signature-villas-15390_sm.jpg,Signature Villas JVC,JVC District 12,Complete
https://propsearch.ae/dubai/sobha-daffodil,https://static.propsearch.ae/photos/dubai/buildings/sobha-daffodil-855_sm.jpg,Sobha Daffodil,JVC District 13,Complete
https://propsearch.ae/dubai/sobo,https://static.propsearch.ae/dubai-locations/sobo-14457_sm.jpg,Sobo,JVC District 15,Complete
https://propsearch.ae/dubai/sofitel-dubai-downtown-ambassadors-residence,https://static.propsearch.ae/photos/dubai/buildings/untitled-plot-jvc13emrp006-9759_sm.jpg,Sofitel Dubai Downtown Ambassadors Residence,JVC District 13,Complete
https://propsearch.ae/dubai/sofitel-staff-residency,https://static.propsearch.ae/photos/dubai/buildings/sofitel-staff-residency-1324_sm.jpg,Sofitel Staff Residency,JVC District 10,Complete
https://propsearch.ae/dubai/somerset-mews,https://static.propsearch.ae/dubai-locations/somerset-mews-14425_sm.jpg,Somerset Mews,JVC District 10,Complete
https://propsearch.ae/dubai/soraya-tower-1,https://static.propsearch.ae/photos/dubai/buildings/soraya-tower-1-1588_sm.jpg,Soraya Tower 1,JVC District 16,Under development (Cancelled)
https://propsearch.ae/dubai/south-residences,https://static.propsearch.ae/dubai-locations/south-residences-18915_sm.jpg,South Residences,JVC District 13,Complete
https://propsearch.ae/dubai/spica-residences,https://static.propsearch.ae/photos/dubai/buildings/spica-residences-6205_sm.jpg,Spica Residences,JVC District 10,Complete
https://propsearch.ae/dubai/sternon-tower,https://static.propsearch.ae/photos/dubai/buildings/sternon-tower-6922_sm.jpg,Sternon Tower,JVC District 13,Under development (Cancelled)
https://propsearch.ae/dubai/sternon-tower-2,https://static.propsearch.ae/photos/dubai/buildings/sternon-tower-2-7805_sm.jpg,Sternon Tower 2,JVC District 13,Under development (Cancelled)
https://propsearch.ae/dubai/sunrise-tower,https://static.propsearch.ae/dubai-locations/sunrise-tower-21651_sm.jpg,Sunrise Tower,JVC District 17,Complete
https://propsearch.ae/dubai/sunset-gardens,https://static.propsearch.ae/photos/dubai/buildings/sunset-gardens-9074_sm.jpg,Sunset Gardens,JVC District 11,Complete
https://propsearch.ae/dubai/sydney-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Sydney Tower,JVC District 18,Complete
https://propsearch.ae/dubai/takaful-emarat-building,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Takaful Emarat Building,JVC District 10,Under development
https://propsearch.ae/dubai/taraf-1-residence,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Taraf 1 Residence,JVC District 11,Complete
https://propsearch.ae/dubai/tasmeer-residence,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Tasmeer Residence,JVC District 10,Complete
https://propsearch.ae/dubai/the-ghaf-tree,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",The Ghaf Tree,JVC District 13,Complete
https://propsearch.ae/dubai/the-ghaf-tree-2,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",The Ghaf Tree 2,JVC District 13,Complete
https://propsearch.ae/dubai/the-habitat,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",The Habitat,JVC District 10,Complete
