tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/10-tower,https://static.propsearch.ae/photos/dubai/buildings/10-tower-6696_sm.jpg,10 Tower,JVC District 10,Under development (Cancelled)
https://propsearch.ae/dubai/14-townhouses,https://static.propsearch.ae/dubai-locations/14-townhouses-26373_sm.jpg,14 Townhouses,JVC District 12,Under development
https://propsearch.ae/dubai/7-west-residences,https://static.propsearch.ae/photos/dubai/buildings/7-west-villas-5984_sm.jpg,7 West Residences,JVC District 12,Complete
https://propsearch.ae/dubai/a1-tower-jvc,https://static.propsearch.ae/photos/dubai/buildings/a1-tower-jvc-7794_sm.jpg,A1 Tower JVC,JVC District 17,Under development (Cancelled)
https://propsearch.ae/dubai/a2-jumeirah-village-circle,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,A2 Jumeirah Village Circle,JVC District 17,Planned
https://propsearch.ae/dubai/a3-jumeirah-village-circle,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,A3 Jumeirah Village Circle,JVC District 17,Planned
https://propsearch.ae/dubai/abjar-tower,https://static.propsearch.ae/photos/dubai/buildings/abjar-tower-1052_sm.jpg,Abjar Tower,JVC District 10,Under development (Cancelled)
https://propsearch.ae/dubai/aces-chateau,https://static.propsearch.ae/dubai-locations/aces-chateau-21580_sm.jpg,Aces Chateau,JVC District 11,Complete
https://propsearch.ae/dubai/adore,https://static.propsearch.ae/dubai-locations/adore-21582_sm.jpg,Adore,JVC District 11,Complete
https://propsearch.ae/dubai/ahmad-alkhyeli-building,https://static.propsearch.ae/dubai-locations/ahmad-alkhyeli-building-26358_sm.jpg,Ahmad Alkhyeli Building,JVC District 17,Under development
https://propsearch.ae/dubai/aintree-townhouses,https://static.propsearch.ae/dubai-locations/aintree-townhouses-21724_sm.jpg,Aintree Townhouses,JVC District 14,Complete
https://propsearch.ae/dubai/aka-residences,https://static.propsearch.ae/dubai-locations/aka-residences-21643_sm.jpg,AKA Residences,JVC District 11,Complete
https://propsearch.ae/dubai/al-abeir-residential-tower,https://static.propsearch.ae/dubai-locations/al-abeir-residential-tower-26364_sm.jpg,Al Abeir Residential Tower,JVC District 17,Under development
https://propsearch.ae/dubai/alamir-residence,https://static.propsearch.ae/dubai-locations/alamir-residence-21647_sm.jpg,Alamir Residence,JVC District 11,Complete
https://propsearch.ae/dubai/alamir-villas-east,https://static.propsearch.ae/photos/dubai/buildings/untitled-plot-jvc110frp003-12713_sm.jpg,Alamir Villas East,JVC District 11,Complete
https://propsearch.ae/dubai/alamir-villas-west,https://static.propsearch.ae/photos/dubai/buildings/untitled-plot-jvc11dfrp001-9531_sm.jpg,Alamir Villas West,JVC District 11,Complete
https://propsearch.ae/dubai/alcove,https://static.propsearch.ae/dubai-locations/alcove-21629_sm.jpg,Alcove,JVC District 11,Complete
https://propsearch.ae/dubai/al-duaa-gardens,https://static.propsearch.ae/photos/dubai/buildings/al-duaa-gardens-6735_sm.jpg,Al Duaa Gardens,JVC District 11,Under development (Cancelled)
https://propsearch.ae/dubai/alfa-residence,https://static.propsearch.ae/photos/dubai/buildings/alfa-residence-1495_sm.jpg,Alfa Residence,JVC District 13,Complete
https://propsearch.ae/dubai/alfa-villas,https://static.propsearch.ae/dubai-locations/alfa-villas-15437_sm.jpg,Alfa Villas,JVC District 13,Complete
https://propsearch.ae/dubai/al-hassani-building,https://static.propsearch.ae/dubai-locations/al-hassani-building-18898_sm.jpg,Al Hassani Building,JVC District 13,Complete
https://propsearch.ae/dubai/aljazia-building,https://static.propsearch.ae/dubai-locations/aljazia-building-18921_sm.jpg,Aljazia Building,JVC District 13,Complete
https://propsearch.ae/dubai/al-maali-villas,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Al Ma'ali Villas,JVC District 14,Under development
https://propsearch.ae/dubai/al-makhlafi-villas,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Al Makhlafi Villas,JVC District 15,Complete
https://propsearch.ae/dubai/al-manal-elite-residence,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Al Manal Elite Residence,JVC District 13,Complete
https://propsearch.ae/dubai/alsaeedi-townhouses,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Alsaeedi Townhouses,JVC District 11,Complete
https://propsearch.ae/dubai/al-sima-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Al Sima Tower,JVC District 11,Complete
