tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/ahc-residences,https://static.propsearch.ae/dubai-locations/ahc-residences-22541_sm.jpg,AHC Residences,JVT District 1,Under development
https://propsearch.ae/dubai/al-burooj-residences-1,https://static.propsearch.ae/dubai-locations/al-burooj-residences-1-22674_sm.jpg,Al Burooj Residences 1,JVT District 6,Complete
https://propsearch.ae/dubai/al-burooj-residences-2,https://static.propsearch.ae/dubai-locations/al-burooj-residences-2-22675_sm.jpg,Al Burooj Residences 2,JVT District 7,Complete
https://propsearch.ae/dubai/al-burooj-residences-3,https://static.propsearch.ae/dubai-locations/al-burooj-residences-3-22682_sm.jpg,Al Burooj Residences 3,JVT District 6,Complete
https://propsearch.ae/dubai/al-burooj-residences-4,https://static.propsearch.ae/dubai-locations/al-burooj-residences-4-22683_sm.jpg,Al Burooj Residences 4,JVT District 6,Complete
https://propsearch.ae/dubai/al-jawhara-residences,https://static.propsearch.ae/dubai-locations/al-jawhara-residences-22537_sm.jpg,Al Jawhara Residences,JVT District 2,Complete
https://propsearch.ae/dubai/al-khail-avenue-mall,https://static.propsearch.ae/dubai-locations/al-khail-avenue-mall-22490_sm.jpg,Al Khail Avenue Mall,JVT District 6,Under development
https://propsearch.ae/dubai/al-khail-plaza,https://static.propsearch.ae/photos/dubai/buildings/limitless-building-4289_sm.jpg,Al Khail Plaza,JVT District 4,Complete
https://propsearch.ae/dubai/al-mouhra-towers,https://static.propsearch.ae/photos/dubai/buildings/al-mouhra-towers-4293_sm.jpg,Al Mouhra Towers,JVT District 3,Envisioned
https://propsearch.ae/dubai/al-rawdha-towers,https://static.propsearch.ae/photos/dubai/buildings/al-rawda-towers-9313_sm.jpg,Al Rawdha Towers,JVT District 2,Envisioned
https://propsearch.ae/dubai/apex-suites,https://static.propsearch.ae/dubai-locations/apex-suites-22533_sm.jpg,Apex Suites,JVT District 2,Under development (On hold)
https://propsearch.ae/dubai/blue-coast-jvt-building,https://static.propsearch.ae/dubai-locations/blue-coast-jvt-building-22519_sm.jpg,Blue Coast JVT Building,JVT District 3,Under development
https://propsearch.ae/dubai/bq2-residence,https://static.propsearch.ae/photos/dubai/buildings/untitled-plot-jvt02-kmra500-11474_sm.jpg,BQ2 Residence,JVT District 4,Complete
https://propsearch.ae/dubai/celestica,https://static.propsearch.ae/dubai-locations/celestica-22532_sm.jpg,Celestica,JVT District 2,Under development (On hold)
https://propsearch.ae/dubai/datum-jvt-tower,https://static.propsearch.ae/dubai-locations/datum-jvt-tower-22509_sm.jpg,Datum JVT Tower,JVT District 4,Planned
https://propsearch.ae/dubai/edmonton-elm,https://static.propsearch.ae/dubai-locations/edmonton-elm-22528_sm.jpg,Edmonton Elm,JVT District 2,Under development
https://propsearch.ae/dubai/el-matador-tower,https://static.propsearch.ae/photos/dubai/buildings/el-matador-tower-11467_sm.jpg,El Matador Tower,JVT District 4,Under development (On hold)
https://propsearch.ae/dubai/evo-residences,https://static.propsearch.ae/dubai-locations/la-residence-2-22548_sm.jpg,EVO Residences,JVT District 1,Under development
https://propsearch.ae/dubai/fairway-heights,https://static.propsearch.ae/photos/dubai/buildings/fairway-heights-1115_sm.jpg,Fairway Heights,Jumeirah Village Triangle,Envisioned
https://propsearch.ae/dubai/fatimah-mohammad-sharif-building,https://static.propsearch.ae/dubai-locations/fatimah-mohammad-sharif-building-22525_sm.jpg,Fatimah Mohammad Sharif Building,JVT District 3,Under development
https://propsearch.ae/dubai/golden-wood-view,https://static.propsearch.ae/dubai-locations/golden-wood-view-22526_sm.jpg,Golden Wood View,JVT District 2,Complete
https://propsearch.ae/dubai/green-park,https://static.propsearch.ae/photos/dubai/buildings/green-park-4268_sm.jpg,Green Park,JVT District 4,Complete
https://propsearch.ae/dubai/hydra-twin-towers,https://static.propsearch.ae/dubai-locations/hydra-twin-towers-17351_sm.jpg,Hydra Twin Towers,JVT District 4,Under development (Cancelled)
https://propsearch.ae/dubai/jain-hotel-serviced-apartments,https://static.propsearch.ae/dubai-locations/jain-hotel-serviced-apartments-22479_sm.jpg,Jain Hotel Serviced Apartments,JVT District 7,Under development (On hold)
https://propsearch.ae/dubai/jenin,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Jenin,JVT District 4,Complete
https://propsearch.ae/dubai/jvt-district-4-mosque,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",JVT District 4 Mosque,Jumeirah Village Triangle,Under development
https://propsearch.ae/dubai/kazim-townhouses,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Kazim Townhouses,JVT District 6,Complete
https://propsearch.ae/dubai/la-residence-1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",La Residence 1,JVT District 1,Complete
https://propsearch.ae/dubai/magnolia-residence,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Magnolia Residence,JVT District 2,Under development
https://propsearch.ae/dubai/manara-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Manara Tower,JVT District 4,Complete
https://propsearch.ae/dubai/maya-1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Maya 1,JVT District 7,Under development
https://propsearch.ae/dubai/new-east-building-jvt,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",New East Building JVT,JVT District 4,Under development
https://propsearch.ae/dubai/noor-apartment-1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Noor Apartment 1,JVT District 2,Complete
https://propsearch.ae/dubai/oasis-residence-2,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Oasis Residence 2,JVT District 2,Complete
https://propsearch.ae/dubai/pacific-residencia,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Pacific Residencia,JVT District 4,Under development (On hold)
https://propsearch.ae/dubai/paradise-one,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Paradise One,JVT District 4,Under development (On hold)
https://propsearch.ae/dubai/park-one,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Park One,JVT District 1,Complete
https://propsearch.ae/dubai/plazzo-residence,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Plazzo Residence,JVT District 2,Complete
https://propsearch.ae/dubai/reliance-1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Reliance 1,JVT District 1,Under development (Cancelled)
https://propsearch.ae/dubai/reliance-2,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Reliance 2,JVT District 1,Under development (Cancelled)
https://propsearch.ae/dubai/reliance-4,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Reliance 4,JVT District 7,Under development (Cancelled)
https://propsearch.ae/dubai/reliance-78,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Reliance 7&8,JVT District 1,Under development (Cancelled)
https://propsearch.ae/dubai/silver-stallion-towers,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Silver Stallion Towers,JVT District 1,Under development
