tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/the-vertex,https://static.propsearch.ae/photos/dubai/buildings/the-vertex-1833_sm.jpg,The Vertex,Motor City,Under development (Cancelled)
https://propsearch.ae/dubai/union-properties-mixed-use-development,https://static.propsearch.ae/dubai-locations/union-properties-mixed-use-development-17205_sm.jpg,Union Properties Mixed Use Development,Motor City,Under development
https://propsearch.ae/dubai/vertex-tower,https://static.propsearch.ae/photos/dubai/buildings/vertex-tower-10888_sm.jpg,Vertex Tower,Motor City,Planned
https://propsearch.ae/dubai/weston-court-1,https://static.propsearch.ae/dubai-locations/weston-court-1-17130_sm.jpg,Weston Court 1,Uptown Motor City,Complete
https://propsearch.ae/dubai/weston-court-2,https://static.propsearch.ae/dubai-locations/weston-court-2-17131_sm.jpg,Weston Court 2,Uptown Motor City,Complete
https://propsearch.ae/dubai/widecombe-house-1,https://static.propsearch.ae/dubai-locations/widecombe-house-1-17150_sm.jpg,Widecombe House 1,Uptown Motor City,Complete
https://propsearch.ae/dubai/widecombe-house-2,https://static.propsearch.ae/dubai-locations/widecombe-house-2-17153_sm.jpg,Widecombe House 2,Uptown Motor City,Complete
https://propsearch.ae/dubai/widecombe-house-3,https://static.propsearch.ae/dubai-locations/widecombe-house-3-17152_sm.jpg,Widecombe House 3,Uptown Motor City,Complete
https://propsearch.ae/dubai/widecombe-house-4,https://static.propsearch.ae/dubai-locations/widecombe-house-4-17154_sm.jpg,Widecombe House 4,Uptown Motor City,Complete
https://propsearch.ae/dubai/windsor-crescent,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Windsor Crescent,Motor City,Complete
https://propsearch.ae/dubai/zawaya,https://static.propsearch.ae/dubai-locations/zawaya-24649_sm.jpg,Zawaya,Motor City,Under development (On hold)
