tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/abbey-crescent-1,https://static.propsearch.ae/dubai-locations/abbey-crescent-1-17111_sm.jpg,Abbey Crescent 1,Uptown Motor City,Complete
https://propsearch.ae/dubai/abbey-crescent-2,https://static.propsearch.ae/dubai-locations/abbey-crescent-2-17110_sm.jpg,Abbey Crescent 2,Uptown Motor City,Complete
https://propsearch.ae/dubai/agmc-bmw-showroom,https://static.propsearch.ae/dubai-locations/agmc-bmw-showroom-17185_sm.jpg,AGMC BMW Showroom,Motor City,Under development
https://propsearch.ae/dubai/al-eman-mosque,https://static.propsearch.ae/dubai-locations/al-eman-mosque-17140_sm.jpg,Al Eman Mosque,Motor City,Complete
https://propsearch.ae/dubai/apex-atrium,https://static.propsearch.ae/dubai-locations/apex-atrium-17184_sm.jpg,Apex Atrium,Motor City,Complete
https://propsearch.ae/dubai/barton-house-1,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Barton House 1,Uptown Motor City,Complete
https://propsearch.ae/dubai/barton-house-2,https://static.propsearch.ae/dubai-locations/barton-house-2-17160_sm.jpg,Barton House 2,Uptown Motor City,Complete
https://propsearch.ae/dubai/bennett-house-1,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Bennett House 1,Uptown Motor City,Complete
https://propsearch.ae/dubai/bennett-house-2,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,Bennett House 2,Uptown Motor City,Complete
https://propsearch.ae/dubai/claverton-house-1,https://static.propsearch.ae/dubai-locations/claverton-house-1-17172_sm.jpg,Claverton House 1,Uptown Motor City,Complete
https://propsearch.ae/dubai/claverton-house-2,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Claverton House 2,Uptown Motor City,Complete
https://propsearch.ae/dubai/control-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Control Tower,Motor City,Complete
