tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/the-grandeur-residences,https://static.propsearch.ae/photos/dubai/buildings/the-grandeur-residences-5418_sm.jpg,The Grandeur Residences,The Palm Crescent,Complete
https://propsearch.ae/dubai/the-langham-palm-jumeirah,https://static.propsearch.ae/photos/dubai/buildings/the-langham-palm-jumeirah-8938_sm.jpg,The Langham Palm Jumeirah,The Palm Crescent,Under development
https://propsearch.ae/dubai/the-palm-gateway,https://static.propsearch.ae/dubai-locations/the-palm-gateway-24786_sm.jpg,The Palm Gateway,Palm Jumeirah,Under development (On hold)
https://propsearch.ae/dubai/the-palm-golden-mile-1,https://static.propsearch.ae/photos/dubai/buildings/the-palm-golden-mile-1-5241_sm.jpg,The Palm Golden Mile 1,The Golden Mile,Complete
https://propsearch.ae/dubai/the-palm-golden-mile-10,https://static.propsearch.ae/photos/dubai/buildings/the-palm-golden-mile-10-1888_sm.jpg,The Palm Golden Mile 10,The Golden Mile,Complete
https://propsearch.ae/dubai/the-palm-golden-mile-2,https://static.propsearch.ae/photos/dubai/buildings/the-palm-golden-mile-2-1881_sm.jpg,The Palm Golden Mile 2,The Golden Mile,Complete
https://propsearch.ae/dubai/the-palm-golden-mile-3,https://static.propsearch.ae/photos/dubai/buildings/the-palm-golden-mile-3-1882_sm.jpg,The Palm Golden Mile 3,The Golden Mile,Complete
https://propsearch.ae/dubai/the-palm-golden-mile-4,https://static.propsearch.ae/photos/dubai/buildings/the-palm-golden-mile-4-1886_sm.jpg,The Palm Golden Mile 4,The Golden Mile,Complete
https://propsearch.ae/dubai/the-palm-golden-mile-5,https://static.propsearch.ae/photos/dubai/buildings/the-palm-golden-mile-5-1885_sm.jpg,The Palm Golden Mile 5,The Golden Mile,Complete
https://propsearch.ae/dubai/the-palm-golden-mile-6,https://static.propsearch.ae/photos/dubai/buildings/the-palm-golden-mile-6-1884_sm.jpg,The Palm Golden Mile 6,The Golden Mile,Complete
https://propsearch.ae/dubai/the-palm-golden-mile-7,https://static.propsearch.ae/photos/dubai/buildings/the-palm-golden-mile-7-1887_sm.jpg,The Palm Golden Mile 7,The Golden Mile,Complete
https://propsearch.ae/dubai/the-palm-golden-mile-8,https://static.propsearch.ae/photos/dubai/buildings/the-palm-golden-mile-8-1889_sm.jpg,The Palm Golden Mile 8,The Golden Mile,Complete
https://propsearch.ae/dubai/the-palm-golden-mile-9,https://static.propsearch.ae/photos/dubai/buildings/the-palm-golden-mile-9-1890_sm.jpg,The Palm Golden Mile 9,The Golden Mile,Complete
https://propsearch.ae/dubai/the-palm-tower,https://static.propsearch.ae/dubai-locations/the-palm-tower_eiEJr_sm.jpg,The Palm Tower,Palm Jumeirah,Under development
https://propsearch.ae/dubai/the-palm-trump-international-hotel-tower,https://static.propsearch.ae/photos/dubai/buildings/the-palm-trump-international-hotel--tower-7654_sm.jpg,The Palm Trump International Hotel & Tower,Palm Jumeirah,Under development (On hold)
https://propsearch.ae/dubai/the-pinnacle-palm-tower,https://propsearch.ae/images/awaiting_image_portrait_sm.jpg,The Pinnacle Palm Tower,Palm Jumeirah,Planned (Cancelled)
https://propsearch.ae/dubai/the-retreat-palm-dubai-mgallery-by-sofitel,https://static.propsearch.ae/dubai-locations/the-retreat-palm-dubai-mgallery-by-sofitel-15976_sm.jpg,The Retreat Palm Dubai MGallery By Sofitel,The Palm Crescent,Complete
https://propsearch.ae/dubai/the-royal-atlantis-resort-residences,https://static.propsearch.ae/dubai-locations/the-royal-atlantis-resort-residences-26184_sm.jpg,The Royal Atlantis Resort & Residences,The Palm Crescent,Under development
https://propsearch.ae/dubai/tiara-residences,https://static.propsearch.ae/photos/dubai/buildings/tiara-residence-267_sm.jpg,Tiara Residences,Palm Jumeirah,Complete
https://propsearch.ae/dubai/vizir-palm-crescent,https://static.propsearch.ae/photos/dubai/buildings/vizir-palm-crescent-2738_sm.jpg,Vizir Palm Crescent,The Palm Crescent,Envisioned
https://propsearch.ae/dubai/voco-dubai-palm-jumeirah,https://static.propsearch.ae/dubai-locations/byblos-hotel-the-palm_TX0FN_sm.jpg,Voco Dubai Palm Jumeirah,Palm Jumeirah,Under development
https://propsearch.ae/dubai/waldorf-astoria,https://static.propsearch.ae/dubai-locations/waldorf-astoria-15965_sm.jpg,Waldorf Astoria,The Palm Crescent,Complete
https://propsearch.ae/dubai/w-dubai-the-palm,https://static.propsearch.ae/dubai-locations/w-dubai-the-palm-15171_sm.jpg,W Dubai The Palm,The Palm Crescent,Complete
https://propsearch.ae/dubai/w-residences-dubai,https://static.propsearch.ae/photos/dubai/buildings/the-w-hotel--alef-residences-13157_sm.jpg,W Residences Dubai,The Palm Crescent,Complete
