tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/adagio-palm-jumeirah,https://static.propsearch.ae/dubai-locations/adagio-palm-jumeirah-28720_sm.jpg,Adagio Palm Jumeirah,Palm Jumeirah,Complete
https://propsearch.ae/dubai/aloft-palm-jumeirah,https://static.propsearch.ae/dubai-locations/aloft-palm-jumeirah-15937_sm.jpg,Aloft Palm Jumeirah,The Palm Crescent,Complete
https://propsearch.ae/dubai/al-shafar-investment-development,https://static.propsearch.ae/dubai-locations/al-shafar-investment-development-26175_sm.jpg,Al Shafar Investment Development,The Palm Crescent,Under development
https://propsearch.ae/dubai/anantara-the-palm,https://static.propsearch.ae/photos/dubai/buildings/anantara-the-palm-8890_sm.jpg,Anantara The Palm,The Palm Crescent,Complete
https://propsearch.ae/dubai/andaz-dubai-the-palm,https://static.propsearch.ae/dubai-locations/andaz-dubai-the-palm-19571_sm.jpg,Andaz Dubai The Palm,Palm Jumeirah,Complete
https://propsearch.ae/dubai/asma-yousuf-abdullah-al-daboos-building,https://static.propsearch.ae/dubai-locations/asma-yousuf-abdullah-al-daboos-building_5qj3Q_sm.jpg,Asma Yousuf Abdullah Al-Daboos Building,Palm Jumeirah,Under development
https://propsearch.ae/dubai/atlantis-the-palm,https://static.propsearch.ae/photos/dubai/buildings/atlantis-the-palm-5457_sm.jpg,Atlantis The Palm,The Palm Crescent,Complete
https://propsearch.ae/dubai/azure-residences,https://static.propsearch.ae/photos/dubai/buildings/azure-residences-11410_sm.jpg,Azure Residences,Palm Jumeirah,Under development
https://propsearch.ae/dubai/c-central-resort-the-palm,https://static.propsearch.ae/dubai-locations/c-central-resort-the-palm-20214_sm.jpg,C Central Resort The Palm,The Palm Crescent,Complete
https://propsearch.ae/dubai/club-vista-mare,https://static.propsearch.ae/photos/dubai/buildings/club-vista-mare-7511_sm.jpg,Club Vista Mare,Palm Jumeirah,Complete
https://propsearch.ae/dubai/conrad-palm-jumeirah,https://static.propsearch.ae/dubai-locations/conrad-palm-jumeirah-26199_sm.jpg,Conrad Palm Jumeirah,The Palm Crescent,Under development (On hold)
https://propsearch.ae/dubai/dukes-the-palm-a-royal-hideaway-hotel,https://static.propsearch.ae/dubai-locations/dukes-the-palm-a-royal-hideaway-hotel-19566_sm.jpg,"Dukes The Palm, A Royal Hideaway Hotel",Palm Jumeirah,Complete
https://propsearch.ae/dubai/emerald-palace-kempinski-hotel,https://static.propsearch.ae/dubai-locations/emerald-palace-kempinski-hotel-15156_sm.jpg,Emerald Palace Kempinski Hotel,The Palm Crescent,Complete
https://propsearch.ae/dubai/fairmont-the-palm-hotel-resort,https://static.propsearch.ae/photos/dubai/buildings/fairmont-the-palm-hotel--resort-253_sm.jpg,Fairmont The Palm Hotel & Resort,Palm Jumeirah,Complete
https://propsearch.ae/dubai/fast-line-residential-building,https://static.propsearch.ae/dubai-locations/fast-line-residential-building-15966_sm.jpg,Fast Line Residential Building,The Palm Crescent,Planned
https://propsearch.ae/dubai/five-palm-jumeirah,https://static.propsearch.ae/photos/dubai/buildings/five-palm-jumeirah-11401_sm.jpg,Five Palm Jumeirah,Palm Jumeirah,Complete
