tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/aryana-hotel,https://static.propsearch.ae/dubai-locations/aryana-hotel-26616_sm.jpg,Aryana Hotel,Sobha Hartland,Under development
https://propsearch.ae/dubai/creek-vistas-reserve,https://static.propsearch.ae/dubai-locations/creek-vistas-reserve-26609_sm.jpg,Creek Vistas Reservé,Sobha Hartland,Under development
https://propsearch.ae/dubai/gemini-splendor,https://static.propsearch.ae/dubai-locations/gemini-splendor-19788_sm.jpg,Gemini Splendor,Sobha Hartland,Complete
https://propsearch.ae/dubai/hartland-waves,https://static.propsearch.ae/dubai-locations/waves-28682_sm.jpg,Hartland Waves,Sobha Hartland,Under development
https://propsearch.ae/dubai/kensington-waters,https://static.propsearch.ae/dubai-locations/wilton-terraces-2-26588_sm.jpg,Kensington Waters,Sobha Hartland,Under development
https://propsearch.ae/dubai/one-park-avenue,https://static.propsearch.ae/dubai-locations/one-park-avenue-26603_sm.jpg,One Park Avenue,Sobha Hartland,Under development
https://propsearch.ae/dubai/sobha-creek-vistas,https://static.propsearch.ae/dubai-locations/sobha-creek-vistas-26825_sm.jpg,Sobha Creek Vistas,Sobha Hartland,Under development
https://propsearch.ae/dubai/sobha-hartland-greens-1,https://static.propsearch.ae/dubai-locations/hartland-greens-1-26593_sm.jpg,Sobha Hartland Greens 1,Sobha Hartland Greens,Complete
https://propsearch.ae/dubai/sobha-hartland-greens-2,https://static.propsearch.ae/dubai-locations/hartland-greens-2-26599_sm.jpg,Sobha Hartland Greens 2,Sobha Hartland Greens,Complete
https://propsearch.ae/dubai/sobha-hartland-greens-3,https://static.propsearch.ae/dubai-locations/hartland-greens-3-26600_sm.jpg,Sobha Hartland Greens 3,Sobha Hartland Greens,Complete
https://propsearch.ae/dubai/sobha-hartland-greens-4,https://static.propsearch.ae/dubai-locations/hartland-greens-4-26592_sm.jpg,Sobha Hartland Greens 4,Sobha Hartland Greens,Complete
https://propsearch.ae/dubai/sobha-hartland-greens-5,https://static.propsearch.ae/dubai-locations/sobha-hartland-greens-5-26818_sm.jpg,Sobha Hartland Greens 5,Sobha Hartland Greens,Under development
https://propsearch.ae/dubai/sobha-hartland-greens-6,https://static.propsearch.ae/dubai-locations/sobha-hartland-greens-6-26597_sm.jpg,Sobha Hartland Greens 6,Sobha Hartland Greens,Under development
https://propsearch.ae/dubai/the-terraces,https://static.propsearch.ae/dubai-locations/the-terraces-26590_sm.jpg,The Terraces,Sobha Hartland,Under development
https://propsearch.ae/dubai/wilton-park-residences,https://static.propsearch.ae/dubai-locations/wilton-park-residences-26617_sm.jpg,Wilton Park Residences,Sobha Hartland,Under development
https://propsearch.ae/dubai/wilton-terraces-1,https://static.propsearch.ae/dubai-locations/wilton-terraces-1-26594_sm.jpg,Wilton Terraces 1,Sobha Hartland,Under development
