tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-status
https://propsearch.ae/dubai/oasis-tower-1,https://static.propsearch.ae/dubai-locations/oasis-tower-1-15861_sm.jpg,Oasis Tower 1,Complete
https://propsearch.ae/dubai/oasis-tower-2,https://static.propsearch.ae/dubai-locations/oasis-tower-2-22724_sm.jpg,Oasis Tower 2,Under development (On hold)
https://propsearch.ae/dubai/olympic-park-1,https://static.propsearch.ae/photos/dubai/buildings/olympic-park-1-660_sm.jpg,Olympic Park 1,Complete
https://propsearch.ae/dubai/olympic-park-2,https://static.propsearch.ae/photos/dubai/buildings/olympic-park-2-661_sm.jpg,Olympic Park 2,Complete
https://propsearch.ae/dubai/olympic-park-3,https://static.propsearch.ae/photos/dubai/buildings/olympic-park-3-662_sm.jpg,Olympic Park 3,Complete
https://propsearch.ae/dubai/olympic-park-4,https://static.propsearch.ae/photos/dubai/buildings/olympic-park-4-663_sm.jpg,Olympic Park 4,Complete
https://propsearch.ae/dubai/profile-residence,https://static.propsearch.ae/dubai-locations/profile-residence-22718_sm.jpg,Profile Residence,Under development (On hold)
https://propsearch.ae/dubai/red-residence,https://static.propsearch.ae/dubai-locations/red-residence-15902_sm.jpg,Red Residence,Complete
https://propsearch.ae/dubai/roma-by-giovanni-boutique-suites,https://static.propsearch.ae/dubai-locations/roma-by-giovanni-boutique-suites-15888_sm.jpg,Roma by Giovanni Boutique Suites,Complete
https://propsearch.ae/dubai/royale-residence-1,https://static.propsearch.ae/photos/dubai/buildings/royale-residence-1-5552_sm.jpg,Royale Residence 1,Complete
https://propsearch.ae/dubai/royale-residence-2,https://static.propsearch.ae/photos/dubai/buildings/royale-residence-2-5561_sm.jpg,Royale Residence 2,Complete
https://propsearch.ae/dubai/rufi-century-tower,https://static.propsearch.ae/photos/dubai/buildings/rufi-century-tower-2244_sm.jpg,Rufi Century Tower,Under development (Cancelled)
https://propsearch.ae/dubai/rufi-golf-greens,https://static.propsearch.ae/dubai-locations/rufi-golf-greens-22707_sm.jpg,Rufi Golf Greens,Under development (Cancelled)
https://propsearch.ae/dubai/rufi-park-view,https://static.propsearch.ae/dubai-locations/rufi-park-view-22743_sm.jpg,Rufi Park View,Under development (Cancelled)
https://propsearch.ae/dubai/rufi-rose-gardens,https://static.propsearch.ae/dubai-locations/rufi-rose-gardens-22714_sm.jpg,Rufi Rose Gardens,Under development (On hold)
https://propsearch.ae/dubai/rufi-twin-towers,https://static.propsearch.ae/dubai-locations/rufi-twin-towers-22746_sm.jpg,Rufi Twin Towers,Under development (Cancelled)
https://propsearch.ae/dubai/rufi-waterfront-residency,https://static.propsearch.ae/dubai-locations/rufi-waterfront-residency-22745_sm.jpg,Rufi Waterfront Residency,Under development (Cancelled)
https://propsearch.ae/dubai/sama-world-tower,https://static.propsearch.ae/photos/dubai/buildings/sama-world-tower-2434_sm.jpg,Sama World Tower,Under development (Cancelled)
https://propsearch.ae/dubai/shami-sports-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Shami Sports Tower,Under development (Cancelled)
https://propsearch.ae/dubai/shami-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Shami Tower,Under development (On hold)
https://propsearch.ae/dubai/sports-city-masjid,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Sports City Masjid,Complete
https://propsearch.ae/dubai/sports-city-mosque,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Sports City Mosque,Complete
https://propsearch.ae/dubai/sports-city-symphony-tower-1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Sports City Symphony Tower 1,Under development (Cancelled)
https://propsearch.ae/dubai/sports-city-symphony-tower-2,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Sports City Symphony Tower 2,Under development (Cancelled)
https://propsearch.ae/dubai/sports-city-symphony-tower-3,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Sports City Symphony Tower 3,Under development (Cancelled)
https://propsearch.ae/dubai/sports-one-commercial-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Sports One Commercial Tower,Under development (On hold)
https://propsearch.ae/dubai/stadium-point,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Stadium Point,Complete
https://propsearch.ae/dubai/symphony-tower-2-sports-city,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Symphony Tower 2 Sports City,Under development (On hold)
https://propsearch.ae/dubai/tennis-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Tennis Tower,Complete
https://propsearch.ae/dubai/the-bridge,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",The Bridge,Complete
https://propsearch.ae/dubai/the-cube-sports-city,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",The Cube Sports City,Under development (On hold)
https://propsearch.ae/dubai/the-diamond,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",The Diamond,Complete
https://propsearch.ae/dubai/the-gateway-at-sports-city,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",The Gateway at Sports City,Envisioned
https://propsearch.ae/dubai/the-matrix,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",The Matrix,Complete
https://propsearch.ae/dubai/the-medalist,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",The Medalist,Complete
https://propsearch.ae/dubai/the-spirit-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",The Spirit Tower,Complete
https://propsearch.ae/dubai/treppan-hotel-suites-by-fakhruddin,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Treppan Hotel & Suites by Fakhruddin,Complete
https://propsearch.ae/dubai/uniestate-sports-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",UniEstate Sports Tower,Complete
https://propsearch.ae/dubai/universal-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Universal Tower,Under development (Cancelled)
https://propsearch.ae/dubai/untitled-plot-682269-sports-city,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Untitled Plot 682269 Sports City,Under development
https://propsearch.ae/dubai/v2,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",V2,Under development
https://propsearch.ae/dubai/wimbledon-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Wimbledon Tower,Complete
https://propsearch.ae/dubai/zenith-tower-a1,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Zenith Tower A1,Complete
https://propsearch.ae/dubai/zenith-tower-a2,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Zenith Tower A2,Complete
https://propsearch.ae/dubai/zenith-tower-a3,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Zenith Tower A3,Under development (Cancelled)
