tablescraper-selected-row href,lazy src,ps-loc-card-title,ps-loc-card-location,ps-loc-card-status
https://propsearch.ae/dubai/arena-apartments,https://static.propsearch.ae/photos/dubai/buildings/arena-apartments-5565_sm.jpg,Arena Apartments,Sports City,Complete
https://propsearch.ae/dubai/bayt-by-azizi,https://static.propsearch.ae/dubai-locations/bayt-by-azizi-15904_sm.jpg,Bayt by Azizi,Sports City,Planned
https://propsearch.ae/dubai/bermuda-views,https://static.propsearch.ae/photos/dubai/buildings/bermuda-views-12073_sm.jpg,Bermuda Views,Sports City,Complete
https://propsearch.ae/dubai/canal-residence-east,https://static.propsearch.ae/dubai-locations/canal-residence-east-22752_sm.jpg,Canal Residence East,Sports City,Planned
https://propsearch.ae/dubai/canal-residence-west-arabian-building,https://static.propsearch.ae/dubai-locations/canal-residence-west-arabian-building-22741_sm.jpg,Canal Residence West Arabian Building,Canal Residence West,Complete
https://propsearch.ae/dubai/canal-residence-west-european-building,https://static.propsearch.ae/photos/dubai/buildings/canal-residence-european-building-557_sm.jpg,Canal Residence West European Building,Canal Residence West,Complete
https://propsearch.ae/dubai/canal-residence-west-mediterranean-building,https://static.propsearch.ae/photos/dubai/buildings/canal-residence-mediterranean-building-556_sm.jpg,Canal Residence West Mediterranean Building,Canal Residence West,Complete
https://propsearch.ae/dubai/canal-residence-west-spanish-building,https://static.propsearch.ae/dubai-locations/canal-residence-west-spanish-building-22750_sm.jpg,Canal Residence West Spanish Building,Canal Residence West,Complete
https://propsearch.ae/dubai/canal-residence-west-venetian-building,https://static.propsearch.ae/photos/dubai/buildings/canal-residence-venetian-building-5531_sm.jpg,Canal Residence West Venetian Building,Canal Residence West,Complete
https://propsearch.ae/dubai/champions-tower-1,https://static.propsearch.ae/dubai-locations/champions-tower-1-15823_sm.jpg,Champions Tower 1,Sports City,Complete
https://propsearch.ae/dubai/champions-tower-2,https://static.propsearch.ae/dubai-locations/champions-tower-2-22742_sm.jpg,Champions Tower 2,Sports City,Under development (On hold)
https://propsearch.ae/dubai/champions-tower-3,https://static.propsearch.ae/dubai-locations/champions-tower-3-22720_sm.jpg,Champions Tower 3,Sports City,Under development (On hold)
https://propsearch.ae/dubai/champions-tower-4,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Champions Tower 4,Sports City,Under development (On hold)
https://propsearch.ae/dubai/chess-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Chess Tower,Sports City,Under development (Cancelled)
https://propsearch.ae/dubai/classic-soccer-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Classic Soccer Tower,Sports City,Under development (Cancelled)
https://propsearch.ae/dubai/cricket-tower,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",Cricket Tower,Sports City,Complete
