area,sub_area,project,status,url,coordinates,developer,architectural_consultant,contractor,piling_contractor,mep_consultant,owner,engineering_consultant,financier,location_type,area_propsearch,phase,floors,building_type,total_units,unit_types,floors_below_ground,date_launched,estimated_handover_date,construction_started,date_completed,revised_estimated_handover_date,caption,photo_url
Arjan,Arjan,Leerbach Palace,Under development,https://propsearch.ae/dubai/leerbach-palace,"25°3 54.7""N 55°13 59.8""E",Mazen Fahmi Moustafa Akela,Canadian Consultant,Gulf Asia Contracting,,,,,,Residential building,Arjan,Under development,19,High-rise building,,,,,,,,,site signboard,https://static.propsearch.ae/dubai-locations/leerbach-palace-24330_xl.jpg
Arjan,Arjan,Miraclz by Danube,Under development,https://propsearch.ae/dubai/miraclz-by-danube,"25°3 28""N 55°14 21""E",Danube Properties Development LLC,EDMAC Engineering Consultant,Naresco Contracting,Atlas Foundations,Bin Lahej Electromechanical LLC,,,,Residential building,Arjan,Under development,37,Skyscraper,591,395 studios132 one-bedroom apartments64 two-bedroom apartments,,November 2016,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/miraclz-by-danube-24307_xl.jpg
Arjan,Arjan,Q Gardens,Under development,https://propsearch.ae/dubai/q-gardens,"25°4 2.3""N 55°14 5.3""E",AYS Property Development,CVTEC Consulting Engineers,Aroma International Building Contractors,,,,,,Residential building,Arjan,Under development,5,Mid-rise building,144,112 one-bedroom apartments32 two-bedroom apartments,,,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/q-gardens-24339_xl.jpg
Arjan,Arjan,Samana Greens,Under development,https://propsearch.ae/dubai/samana-greens,"25°3 47.9""N 55°14 35.1""E",Samana International Real Estate Development,Em Square Engineering Consultants,Conforce Arabia,,,Ameena Yaqoob Pandor,,,Residential building,Arjan,Under development,5,Mid-rise building,128,StudiosOne-bedroom apartmentsTwo-bedroom apartments,,2018,March 2020,June 2018,February 2021,,update September 2020,https://static.propsearch.ae/dubai-locations/samana-greens-24362_xl.jpg
Arjan,Arjan,Samana Hills,Under development,https://propsearch.ae/dubai/samana-hills,"25°4 3.4""N 55°14 52.6""E",Samana Holding Limited,Arec Engineering Consult,Atcon Constructions LLC,,,Samana International Real Estate Development,,,Residential building,Arjan,Under development,6,Mid-rise building,205,StudiosOne-bedroom apartmentsTwo-bedroom apartments,,May 2019,March 2020,,,Q3 2021,update September 2020,https://static.propsearch.ae/dubai-locations/samana-hills-24398_xl.jpg
Arjan,Arjan,Jewelz by Danube,Under development,https://propsearch.ae/dubai/jewelz-by-danube,"25°3 50""N 55°14 34.7""E",Danube Properties Development LLC,National Engineering Bureau,Cast Construction LLC,,,,,,Residential building,Arjan,Under development,16,High-rise building,463,StudiosOne-bedroom apartmentsTwo-bedroom apartments,,March 2018,March 2020,2018,,,update September 2020,https://static.propsearch.ae/dubai-locations/jewelz-by-danube-24360_xl.jpg
Arjan,Arjan,Al Sayyah Residence,Under development,https://propsearch.ae/dubai/al-sayyah-residence,"25°3 45.8""N 55°14 18.7""E",Al Sayyah & Sons Investment (LLC),,Al Sahel Contracting,Edrafor Piling And Special Foundation,Saifco Air Conditioning & Electromechanical Works,,Alajmi Engineering Consultants,,Multi-building complex,Arjan,Under development,,,"1,009",,,,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/al-sayyah-residence-24355_xl.jpg
Arjan,Arjan,API Arjan Building,Under development,https://propsearch.ae/dubai/api-arjan-building,"25°3 59""N 55°14 31.9""E",Al Ali Property Investment,Golden Square Engineering Consultants,Al Arif Contracting,,,,,,Residential building,Arjan,Under development,7,Mid-rise building,,,,,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/api-arjan-building-24358_xl.jpg
Arjan,Arjan,Arjan 5 Storey Residential Building,Under development,https://propsearch.ae/dubai/arjan-5-storey-residential-building,"25°3 37.1""N 55°14 26""E",,,,,,,,,Residential building,Arjan,Under development,,,,,,,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/unknown-arjan-opposite-wings-24368_xl.jpg
Arjan,Arjan,Australian International School,Under development,https://propsearch.ae/dubai/australian-international-school,"25°3 37.2""N 55°13 57""E",Orient Gate Real Estate,National Engineering Bureau,Al Hamad International Contracting,,,H.E. Abdulrahman Mohamed Nasir Owais,,,Building,Arjan,Under development,,,,,,,,,,,update March 2019,https://static.propsearch.ae/dubai-locations/australian-international-school-14651_xl.jpg
