area,sub_area,project,status,url,coordinates,developer,contractor,location_type,area_propsearch,phase,floors,building_type,unit_types,total_units,construction_started,date_launched,estimated_handover_date,revised_estimated_handover_date,date_completed,caption,photo_url
Dubai Hills Estate,Dubai Hills Estate,Socio,Under development,https://propsearch.ae/dubai/socio,"25°6 48.6""N 55°14 54.4""E",,,Residential building,Dubai Hills Estate,Under development,,,,,,,,,,,
Dubai Hills Estate,Park Ridge,Park Ridge Tower C,Under development,https://propsearch.ae/dubai/park-ridge-tower-c,"25°6 43.3""N 55°14 56.4""E",Emaar Properties,,Residential building,Park Ridge,Under development,23,High-rise building,,,2019,,,,,,
Dubai Hills Estate,Dubai Hills Estate,Park Point,Under development,https://propsearch.ae/dubai/park-point,"25°6 39.6""N 55°14 38.5""E",Emaar Properties,SEIDCO,Multi-building complex,Dubai Hills Estate,Under development,,,,,,October 2016,February 2019,November 2020,,,
Dubai Hills Estate,Dubai Hills Estate,Park Heights Offices 2,Under development,https://propsearch.ae/dubai/park-heights-offices-2,"25°6 50.9""N 55°14 47.4""E",,,Office building,Dubai Hills Estate,Under development,10,Mid-rise building,,,,,,,,,
Dubai Hills Estate,Dubai Hills Estate,Park Heights Offices 1,Under development,https://propsearch.ae/dubai/park-heights-offices-1,"25°6 48.5""N 55°14 45.3""E",,,Office building,Dubai Hills Estate,Under development,10,Mid-rise building,,,,,,,,,
Dubai Hills Estate,Park Heights,Park Heights 2,Under development,https://propsearch.ae/dubai/park-heights-2,"25°6 47.9""N 55°14 50.7""E",Emaar Properties,,Multi-building complex,Park Heights,Under development,,,,,,May 2017,,,March 2020,,
Dubai Hills Estate,Park Ridge,Green Square,Under development,https://propsearch.ae/dubai/green-square,"25°6 42.5""N 55°14 51.9""E",Emaar Properties,,Residential building,Park Ridge,Under development,12,High-rise building,One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,,,May 2019,April 2022,,,,
Dubai Hills Estate,Dubai Hills Estate,Golf Suites at Dubai Hills,Under development,https://propsearch.ae/dubai/golf-suites-at-dubai-hills,"25°7 23.7""N 55°15 36.8""E",Emaar Properties,,Residential building,Dubai Hills Estate,Under development,19,High-rise building,17 one-bedroom apartments26 two-bedroom apartments14 three-bedroom apartments,57,,November 2018,July 2021,,,,
Dubai Hills Estate,Dubai Hills Estate,Collective at Dubai Hills Estate,Under development,https://propsearch.ae/dubai/collective-at-dubai-hills-estate,"25°5 58.3""N 55°14 39.2""E",Emaar Properties,,Multi-building complex,Dubai Hills Estate,Under development,,,,,,March 2018,Q3 2021,June 2021,,update July 2019,https://static.propsearch.ae/dubai-locations/collective-at-dubai-hills-estate-26024_xl.jpg
Dubai Hills Estate,Dubai Hills Estate,Collective 2.0,Under development,https://propsearch.ae/dubai/collective-20,"25°6 52.1""N 55°14 51.6""E",,,Residential building,Dubai Hills Estate,Under development,,,,,,,,,,,
