area,sub_area,project,status,url,coordinates,developer,architectural_consultant,location_type,area_propsearch,phase,floors,height,building_type,construction_started,date_launched,caption,photo_url
Business Bay,Business Bay,AW Rostamani Hotel Tower,Envisioned,https://propsearch.ae/dubai/aw-rostamani-hotel-tower,"25°11 12.3""N 55°15 32.2""E",AW Rostamani Holdings Co LLC,,Hotel,Business Bay,Envisioned,100,"485 metres (1,591 feet)",Supertall skyscraper,,,,
Business Bay,Business Bay,Signature Towers,Envisioned,https://propsearch.ae/dubai/signature-towers,"25°11 5.6""N 55°16 0.9""E",Dubai Properties Group,Zaha Hadid Architects,Multi-building complex,Business Bay,Envisioned,,,,,,,
Business Bay,Business Bay,RP One,Envisioned,https://propsearch.ae/dubai/rp-one,"25°11 23.2""N 55°15 41.5""E",RP Global,WS Atkins & Partners,Mixed-use building,Business Bay,Envisioned,100,,Supertall skyscraper,2015,,,
Business Bay,Business Bay,Rasasi Tower 2,Envisioned,https://propsearch.ae/dubai/rasasi-tower-2,"25°10 47.6""N 55°15 53.7""E",Rasasi,VX Architects,Residential building,Business Bay,Envisioned,30,,Skyscraper,,2017,"Rasasi Tower 2, undeveloped plot.",https://static.propsearch.ae/photos/dubai/buildings/rasasi-tower-2-10711_xl.jpg
Business Bay,Business Bay,Rasasi Tower 1,Envisioned,https://propsearch.ae/dubai/rasasi-tower-1,"25°10 51.1""N 55°15 55.8""E",Rasasi,VX Architects,Residential building,Business Bay,Envisioned,20,,High-rise building,,2017,"Rasasi Tower 1, undeveloped plot.",https://static.propsearch.ae/dubai-locations/rasasi-tower-1-14784_xl.jpg
Business Bay,Business Bay,ENBD Hotel Apartments,Envisioned,https://propsearch.ae/dubai/enbd-hotel-apartments,"25°11 29.8""N 55°17 13.1""E",Emirates NBD,,Residential building,Business Bay,Envisioned,19,,High-rise building,,,,
Business Bay,Business Bay,Dubawi Tower,Envisioned,https://propsearch.ae/dubai/dubawi-tower,"25°11 29.9""N 55°15 47.4""E",Shuaa Capital,Northacre,Residential building,Business Bay,Envisioned,84,,Supertall skyscraper,,September 2017,,
Business Bay,Business Bay,Global Boulevard Tower,Envisioned,https://propsearch.ae/dubai/global-boulevard-tower,"25°10 51""N 55°16 9.1""E",Sabhan Holding,VX Architects,Residential building,Business Bay,Envisioned,23,,High-rise building,,2017,,
Business Bay,Business Bay,Business Bay Towers,Envisioned,https://propsearch.ae/dubai/business-bay-towers,"25°11 25.7""N 55°15 37.9""E",,,Multi-building complex,Business Bay,Envisioned,,,,,,,
Business Bay,Business Bay,Vert by IGO,Envisioned,https://propsearch.ae/dubai/vert-by-igo,"25°11 22.3""N 55°17 12.3""E",Investment Group Overseas,VX Architects,Residential building,Business Bay,Envisioned,25,,Skyscraper,,September 2017,,
