area,sub_area,project,status,url,coordinates,developer,architectural_consultant,owner,contractor,hotel_operator,piling_contractor,location_type,area_propsearch,phase,status,floors,building_type,floors_below_ground,also_known_as,unit_types,total_units,date_launched,construction_started,estimated_handover_date,caption,photo_url
Jumeirah Village Circle,JVC District 13,Orchid Residence JVC,Under development (On hold),https://propsearch.ae/dubai/orchid-residence-jvc,"25°2 55.4""N 55°12 29.9""E",New World Investments Group,,,,,,Residential building,JVC District 13,Under development,On hold,4,Mid-rise building,,,,,2008,October 2008,,update July 2020,https://static.propsearch.ae/dubai-locations/orchid-residence-jvc-22427_xl.jpg
Jumeirah Village Circle,JVC District 14,Angelica Residence,Under development (On hold),https://propsearch.ae/dubai/angelica-residence,"25°3 8.1""N 55°12 18.6""E",,,,,,,Residential building,JVC District 14,Under development,On hold,5,Mid-rise building,,,,,,,,update August 2016,https://static.propsearch.ae/photos/dubai/buildings/angelica-residence-6970_xl.jpg
Jumeirah Village Circle,JVC District 11,Arabian Tower,Under development (On hold),https://propsearch.ae/dubai/arabian-tower,"25°3 33.9""N 55°12 50.6""E",AA Global Limited,Golden Square Engineering Consultants,,,,,Mixed-use building,JVC District 11,Under development,On hold,25,Skyscraper,,,,,,2008,,update July 2020,https://static.propsearch.ae/dubai-locations/arabian-tower-21698_xl.jpg
Jumeirah Village Circle,JVC District 13,Al Siri Tower 2,Under development (On hold),https://propsearch.ae/dubai/al-siri-tower-2,"25°2 47.2""N 55°12 28.3""E",,Design Center,,,,,Residential building,JVC District 13,Under development,On hold,20,High-rise building,,,,,,,,site signboard,https://static.propsearch.ae/photos/dubai/buildings/al-siri-tower-2-1397_xl.jpg
Jumeirah Village Circle,JVC District 16,Jehaan Residences,Under development (On hold),https://propsearch.ae/dubai/jehaan-residences,"25°4 8.6""N 55°12 53""E",,,,,,,Multi-building complex,JVC District 16,Under development,On hold,,,,,,,,,,,
Jumeirah Village Circle,JVC District 12,GGICO JVC Tower,Under development (On hold),https://propsearch.ae/dubai/ggico-jvc-tower,"25°3 2""N 55°13 0.4""E",Gulf General Investments Company PSC,,,,,,Residential building,JVC District 12,Under development,On hold,20,High-rise building,,,,,,,,site signboard,https://static.propsearch.ae/dubai-locations/ggico-jvc-tower-26382_xl.jpg
Jumeirah Village Circle,JVC District 13,Green Valley Tower,Under development (On hold),https://propsearch.ae/dubai/green-valley-tower,"25°2 50.7""N 55°12 35.7""E",Green Valley Real Estate,Al Khawajah Engineering Consultancy,Ali Saeed Sulaimaan Al Salami,Al Qabdah Global Building Contractors,,,Residential building,JVC District 13,Under development,On hold,28,Skyscraper,1,,,,April 2017,2019,,update July 2020,https://static.propsearch.ae/dubai-locations/green-valley-tower-22453_xl.jpg
Jumeirah Village Circle,JVC District 11,Hamlet Tower,Under development (On hold),https://propsearch.ae/dubai/hamlet-tower,"25°3 36.1""N 55°12 32.7""E",,,,,,,Residential building,JVC District 11,Under development,On hold,,,,,,,,,,,
Jumeirah Village Circle,JVC District 12,Desert Rose Residences,Under development (On hold),https://propsearch.ae/dubai/desert-rose-residences,"25°3 24.8""N 55°13 8.7""E",Ellis Don,Eng. Adnan Saffarini,,,,,Multi-building complex,JVC District 12,Under development,On hold,,,,,,,,,,update April 2017,https://static.propsearch.ae/photos/dubai/buildings/desert-rose-residences-9695_xl.jpg
Jumeirah Village Circle,JVC District 12,Durar Hotel Apartments,Under development (On hold),https://propsearch.ae/dubai/durar-hotel-apartments,"25°3 8.5""N 55°13 9.4""E",Durar Properties,,,,,,Hotel apartments building,JVC District 12,Under development,On hold,20,High-rise building,,,,,,,,,
Jumeirah Village Circle,JVC District 18,Dusit Princess,Under development (On hold),https://propsearch.ae/dubai/dusit-princess,"25°3 5.6""N 55°11 57.9""E",Rijas Aces Property,Barajeel Engineering Consultants,,,Dusit International,,Residential building,JVC District 18,Under development,On hold,22,High-rise building,1,Aces Avenue,,,2016,Q2 2016,,site signboard,https://static.propsearch.ae/dubai-locations/dusit-princess-16351_xl.jpg
Jumeirah Village Circle,JVC District 15,Untitled Plot JVC15CMRA006,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc15cmra006,"25°3 40.5""N 55°12 2.2""E",Watan Properties Development LLC,Atrium Architectural & Engineering Consultancy,,,,,Residential building,JVC District 15,Under development,On hold,6,Mid-rise building,,,,,2016,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc15cmra006-26462_xl.jpg
Jumeirah Village Circle,JVC District 12,The Lawns V,Under development (On hold),https://propsearch.ae/dubai/the-lawns-v,"25°3 6.4""N 55°13 0.8""E",Goldline Real Estate Development LLC,,,,,,Residential building,JVC District 12,Under development,On hold,5,Mid-rise building,,,,,,,,update July 2020,https://static.propsearch.ae/dubai-locations/the-lawns-v-22085_xl.jpg
Jumeirah Village Circle,JVC District 12,The Lawns IV,Under development (On hold),https://propsearch.ae/dubai/the-lawns-iv,"25°3 6.7""N 55°12 59.5""E",Goldline Real Estate Development LLC,,,,,,Residential building,JVC District 12,Under development,On hold,5,Mid-rise building,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/the-lawns-iv-26381_xl.jpg
Jumeirah Village Circle,JVC District 12,The Lawns I,Under development (On hold),https://propsearch.ae/dubai/the-lawns-i,"25°3 27""N 55°12 53.4""E",Goldline Real Estate Development LLC,Dimensions Architecture Unlimited,,,,,Residential building,JVC District 12,Under development,On hold,5,Mid-rise building,,,,,,,,update July 2020,https://static.propsearch.ae/dubai-locations/the-lawns-i-22062_xl.jpg
Jumeirah Village Circle,JVC District 11,Untitled Plot 11MOHR003B,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-11mohr003b,"25°3 53.7""N 55°13 3.6""E",DSS Gulf Realtors Limited,Sigma Art Engineering Consultant,,,,,Building,JVC District 11,Under development,On hold,26,Skyscraper,,,,,2017,,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-11mohr003b-22029_xl.jpg
Jumeirah Village Circle,JVC District 10,The Views Tower,Under development (On hold),https://propsearch.ae/dubai/the-views-tower,"25°4 10.5""N 55°12 21.4""E",Dorra Group,APG Architecture & Planning Group,,,,,Residential building,JVC District 10,Under development,On hold,65,Skyscraper,,,StudiosOne-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,,2016,2016,,"The Views Tower, undeveloped plot.",https://static.propsearch.ae/dubai-locations/the-views-tower-14347_xl.jpg
Jumeirah Village Circle,JVC District 10,The Sanctuary JVC,Under development (On hold),https://propsearch.ae/dubai/the-sanctuary-jvc,"25°3 53.2""N 55°12 15.9""E",KGN Investments Limited,CVTEC Consulting Engineers,,,,,Residential building,JVC District 10,Under development,On hold,4,Mid-rise building,2,,,,2017,,March 2019,update July 2020,https://static.propsearch.ae/dubai-locations/the-sanctuary-jvc-21909_xl.jpg
