area,sub_area,project,status,url,coordinates,developer,architectural_consultant,contractor,piling_contractor,mep_consultant,location_type,area_propsearch,phase,status,floors,building_type,total_units,unit_types,floors_below_ground,date_launched,revised_estimated_handover_date,construction_started,estimated_handover_date,caption,photo_url
Sports City,Sports City,Champions Tower 4,Under development (On hold),https://propsearch.ae/dubai/champions-tower-4,"25°2 23.8""N 55°13 8.7""E",Memon Investments,Eng. Adnan Saffarini,Al Sarh Contracting,,,Residential building,Sports City,Under development,On hold,20,High-rise building,266,114 studios133 one-bedroom apartments19 two-bedroom apartments,,2008,2016,January 2009,,update August 2020,https://static.propsearch.ae/dubai-locations/champions-tower-4-22733_xl.jpg
Sports City,Sports City,Champions Tower 3,Under development (On hold),https://propsearch.ae/dubai/champions-tower-3,"25°2 37.8""N 55°12 57.8""E",Shaikhani Group,Eng. Adnan Saffarini,New System Engineering LLC,,,Residential building,Sports City,Under development,On hold,16,High-rise building,256,StudiosOne-bedroom apartmentsTwo-bedroom apartments,,2007,2016,2009,,update August 2020,https://static.propsearch.ae/dubai-locations/champions-tower-3-22720_xl.jpg
Sports City,Sports City,Champions Tower 2,Under development (On hold),https://propsearch.ae/dubai/champions-tower-2,"25°2 0.2""N 55°13 24.6""E",Memon Developments (FZC),Eng. Adnan Saffarini,,,,Residential building,Sports City,Under development,On hold,14,High-rise building,174,,,2005,2016,2009,,update August 2020,https://static.propsearch.ae/dubai-locations/champions-tower-2-22742_xl.jpg
Sports City,Sports City,Limelight Twin Towers,Under development (On hold),https://propsearch.ae/dubai/limelight-twin-towers,"25°2 30.1""N 55°13 0""E",Lime Light Development,Chawla Architectural & Consulting Engineers,Cast Construction LLC,,,Multi-building complex,Sports City,Under development,On hold,,,,,,,,2007,,update August 2020,https://static.propsearch.ae/dubai-locations/limelight-twin-towers-22723_xl.jpg
Sports City,Sports City,Symphony Tower 2 Sports City,Under development (On hold),https://propsearch.ae/dubai/symphony-tower-2-sports-city,"25°1 57.5""N 55°13 28.2""E",Financial Partners International Limited,,,,,Residential building,Sports City,Under development,On hold,,,,,,,,,,site signboard,https://static.propsearch.ae/photos/dubai/buildings/symphony-tower-2-sports-city-5557_xl.jpg
Sports City,Sports City,The Cube Sports City,Under development (On hold),https://propsearch.ae/dubai/the-cube-sports-city,"25°2 37.5""N 55°13 10.8""E",,Bothe Richter Teherani Architekten BDA,,,,Residential building,Sports City,Under development,On hold,24,High-rise building,,,2,,,2008,2009,update August 2020,https://static.propsearch.ae/dubai-locations/the-cube-sports-city-22763_xl.jpg
Sports City,Sports City,Shami Tower,Under development (On hold),https://propsearch.ae/dubai/shami-tower,"25°1 54.6""N 55°13 26.9""E",,Dartin,,,,Residential building,Sports City,Under development,On hold,18,High-rise building,198,52 studios78 one-bedroom apartments60 two-bedroom apartments8 three-bedroom apartments,,,,2005,2008,update August 2020,https://static.propsearch.ae/dubai-locations/shami-tower-22747_xl.jpg
Sports City,Sports City,Multi Purpose Arena,Under development (On hold),https://propsearch.ae/dubai/multi-purpose-arena,"25°2 41""N 55°13 25.8""E",,"Architekten von Gerkan, Marg und Partner",,,,Stadium,Sports City,Under development,On hold,,,,,,,,,,,
Sports City,Sports City,Multi Purpose Stadium,Under development (On hold),https://propsearch.ae/dubai/multi-purpose-stadium,"25°2 32.4""N 55°13 29.7""E",,"Architekten von Gerkan, Marg und Partner",,,,Stadium,Sports City,Under development,On hold,,,,,,,,2007,,"Multi Purpose Stadium, December 2014.",https://static.propsearch.ae/photos/dubai/buildings/multi-purpose-stadium-993_xl.jpg
Sports City,Sports City,Oasis Tower 2,Under development (On hold),https://propsearch.ae/dubai/oasis-tower-2,"25°2 26.2""N 55°13 1.3""E",PAL Developments,Al Hawraa Engineering Consultants,,Torque LLC,,Residential building,Sports City,Under development,On hold,26,Skyscraper,240,StudiosOne-bedroom apartmentsTwo-bedroom apartments,,,,2008,,update August 2020,https://static.propsearch.ae/dubai-locations/oasis-tower-2-22724_xl.jpg
Sports City,Sports City,Profile Residence,Under development (On hold),https://propsearch.ae/dubai/profile-residence,"25°2 43.1""N 55°12 53.9""E",Innovation SEZ Developers Ltd,BH NS Engineering Consultants,Majed Hilal Contracting LLC,,Belco Electro Mechanical LLC,Residential building,Sports City,Under development,On hold,13,High-rise building,,StudiosOne-bedroom apartmentsTwo-bedroom apartments,,,,2009,,update August 2020,https://static.propsearch.ae/dubai-locations/profile-residence-22718_xl.jpg
Sports City,Sports City,Rufi Rose Gardens,Under development (On hold),https://propsearch.ae/dubai/rufi-rose-gardens,"25°2 40.8""N 55°12 49.1""E",Rufi Real Estate & Construction Co. LLC,Space Consult,,,,Residential building,Sports City,Under development,On hold,17,High-rise building,,,,2008,,,2010,"Rufi Rose Gardens, undeveloped plot.",https://static.propsearch.ae/dubai-locations/rufi-rose-gardens-22714_xl.jpg
Sports City,Sports City,Sports One Commercial Tower,Under development (On hold),https://propsearch.ae/dubai/sports-one-commercial-tower,"25°2 37.4""N 55°13 7.3""E",Axon Developments,Barajeel Engineering Consultants,,,,Office building,Sports City,Under development,On hold,30,Skyscraper,,,,,,2008,,update August 2020,https://static.propsearch.ae/dubai-locations/sports-one-commercial-tower-22768_xl.jpg
