area,sub_area,project,status,url,coordinates,developer,architectural_consultant,piling_contractor,owner,contractor,location_type,area_propsearch,phase,floors,building_type,total_units,unit_types,floors_below_ground,date_launched,construction_started,caption,photo_url
Jumeirah Village Circle,JVC District 12,Pantheon Elysee 2,Planned,https://propsearch.ae/dubai/pantheon-elysee-2,"25°3 7.1""N 55°13 4.3""E",Pantheon Properties Limited,,,,,Residential building,JVC District 12,Planned,5,Mid-rise building,160,StudiosOne-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,,April 2021,,,
Jumeirah Village Circle,JVC District 15,Pacific Wave Residence,Planned,https://propsearch.ae/dubai/pacific-wave-residence,"25°3 38""N 55°11 53.4""E",Pacific Ventures Ltd,,,,,Residential building,JVC District 15,Planned,5,Mid-rise building,,,,2015,,,
Jumeirah Village Circle,JVC District 17,A2 Jumeirah Village Circle,Planned,https://propsearch.ae/dubai/a2-jumeirah-village-circle,"25°3 36.8""N 55°12 58.3""E",AAA Home Group,Dimensions Engineering Consultants,,,,Office building,JVC District 17,Planned,,,,,,,,,
Jumeirah Village Circle,JVC District 17,A3 Jumeirah Village Circle,Planned,https://propsearch.ae/dubai/a3-jumeirah-village-circle,"25°3 37.7""N 55°13 0.7""E",AAA Home Group,Dimensions Engineering Consultants,,,,Office building,JVC District 17,Planned,,,,,,,,,
Jumeirah Village Circle,JVC District 11,Ginco Tower,Planned,https://propsearch.ae/dubai/ginco-tower,"25°3 56.5""N 55°13 2.7""E",Ginco General Contracting LLC,Datum Engineering Consultants,,,,Residential building,JVC District 11,Planned,31,Skyscraper,,,,2017,,update July 2020,https://static.propsearch.ae/dubai-locations/ginco-tower-21597_xl.jpg
Jumeirah Village Circle,JVC District 14,Gardenia 3,Planned,https://propsearch.ae/dubai/gardenia-3,"25°3 1.4""N 55°12 21.9""E",Memon Investments,Federal Engineering Consultants,,,,Residential building,JVC District 14,Planned,17,High-rise building,,,,,,site signboard,https://static.propsearch.ae/photos/dubai/buildings/gardenia-3-7710_xl.jpg
Jumeirah Village Circle,JVC District 14,Untitled Plot JVC14RFRP003,Planned,https://propsearch.ae/dubai/untitled-plot-jvc14rfrp003,"25°2 58.8""N 55°12 13.3""E",AE Developments,Tangram Gulf Engineering Consultants,,,,Townhouse row,JVC District 14,Planned,2,Low-rise building,,,,2016,,site signboard,https://static.propsearch.ae/photos/dubai/buildings/untitled-plot-jvc14rfrp003-7702_xl.jpg
Jumeirah Village Circle,Jumeirah Village Circle,Masaken Dana,Planned,https://propsearch.ae/dubai/masaken-dana,,,,,,,Multi-building complex,Jumeirah Village Circle,Planned,,,,,,,,,
Jumeirah Village Circle,Jumeirah Village Circle,Mag 614,Planned,https://propsearch.ae/dubai/mag-614,,MAG Group,Eng. Adnan Saffarini,,,,Residential building,Jumeirah Village Circle,Planned,20,High-rise building,223,,,June 2018,,,
Jumeirah Village Circle,JVC District 12,Mag 226 Tower,Planned,https://propsearch.ae/dubai/mag-226-tower,"25°3 18.3""N 55°13 16.9""E",MAG Group,,,,,Residential building,JVC District 12,Planned,20,High-rise building,146,98 one-bedroom apartments48 two-bedroom apartments,,,2019,,
Jumeirah Village Circle,JVC District 14,Breeze Apartments,Planned,https://propsearch.ae/dubai/breeze-apartments,"25°3 3""N 55°12 5.8""E",Heilbronn Properties Ltd,Em Square Engineering Consultants,Geo Foundation Group,,,Residential building,JVC District 14,Planned,5,Mid-rise building,,,,2015,2015,"Breeze Apartments, undeveloped plot.",https://static.propsearch.ae/dubai-locations/breeze-apartments-21751_xl.jpg
Jumeirah Village Circle,JVC District 11,Condor Castle,Planned,https://propsearch.ae/dubai/condor-castle,"25°4 3.5""N 55°12 51.7""E",Condor Group,,,,,Residential building,JVC District 11,Planned,7,Mid-rise building,86,One-bedroom apartmentsTwo-bedroom apartments,,,,,
Jumeirah Village Circle,JVC District 10,Untitled Plot JVC10CMA005,Planned,https://propsearch.ae/dubai/untitled-plot-jvc10cma005,"25°3 56.9""N 55°12 27.4""E",,HAO Architectural & Engineering Consultants,,Hussain Mohd Hussain Al Marzouqi,Dubai Walls Constructions,Residential building,JVC District 10,Planned,5,Mid-rise building,,,2,2018,,site signboard,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc10cma005-14386_xl.jpg
Jumeirah Village Circle,Jumeirah Village Circle,Untitled Plot JVC16RVIL100,Planned,https://propsearch.ae/dubai/untitled-plot-jvc16rvil100,,Rooya Real Estate Development Co LLC,,,,,Residential building,Jumeirah Village Circle,Planned,3,Low-rise building,,,,,,site signboard,https://static.propsearch.ae/photos/dubai/buildings/untitled-plot-jvc16rvil100-1532_xl.jpg
Jumeirah Village Circle,JVC District 10,Village Residence,Planned,https://propsearch.ae/dubai/village-residence,"25°3 36.3""N 55°12 21.7""E",Sweid & Sweid,,,,,Residential building,JVC District 10,Planned,16,High-rise building,125,StudiosOne-bedroom apartmentsTwo-bedroom apartments,,2016,,,
