area,sub_area,project,status,url,coordinates,developer,architectural_consultant,contractor,piling_contractor,location_type,area_propsearch,phase,status,floors,building_type,unit_types,total_units,height,floors_below_ground,date_launched,estimated_handover_date,construction_started,date_cancelled,caption,photo_url
Jumeirah Village Circle,Jumeirah Village Circle,Prodigy 2,Under development (Cancelled),https://propsearch.ae/dubai/prodigy-2,,MiNC Properties,,,,Residential building,Jumeirah Village Circle,Under development,Cancelled,5,Mid-rise building,,,,,2007,2009,,,,
Jumeirah Village Circle,JVC District 15,Pisa Residence,Under development (Cancelled),https://propsearch.ae/dubai/pisa-residence,"25°3 37.8""N 55°12 8.4""E",,,,,Residential building,JVC District 15,Under development,Cancelled,10,Mid-rise building,,,,,,,,,,
Jumeirah Village Circle,JVC District 11,Prodigy 1,Under development (Cancelled),https://propsearch.ae/dubai/prodigy-1,"25°3 41.9""N 55°12 36.1""E",MiNC Properties,,,,Residential building,JVC District 11,Under development,Cancelled,5,Mid-rise building,,,,,2007,2008,,,,
Jumeirah Village Circle,Jumeirah Village Circle,Prodigy 3,Under development (Cancelled),https://propsearch.ae/dubai/prodigy-3,,MiNC Properties,,,,Residential building,Jumeirah Village Circle,Under development,Cancelled,5,Mid-rise building,,,,,2007,2008,,,,
Jumeirah Village Circle,JVC District 11,Prodigy 4,Under development (Cancelled),https://propsearch.ae/dubai/prodigy-4,"25°3 46.7""N 55°12 37""E",MiNC Properties,,,,Residential building,JVC District 11,Under development,Cancelled,5,Mid-rise building,,,,,2007,2008,,,,
Jumeirah Village Circle,JVC District 12,Nili Tower,Under development (Cancelled),https://propsearch.ae/dubai/nili-tower,"25°3 23.5""N 55°12 39.3""E",,Dimensions Engineering Consultants,,,Residential building,JVC District 12,Under development,Cancelled,57,Skyscraper,,,,,,2008,2007,,,
Jumeirah Village Circle,JVC District 16,Olympus Tower,Under development (Cancelled),https://propsearch.ae/dubai/olympus-tower,"25°4 13.6""N 55°12 24""E",Quality Group,,,,Residential building,JVC District 16,Under development,Cancelled,55,Skyscraper,,,,,May 2008,2011,,,,
Jumeirah Village Circle,JVC District 16,Orchid Residences JVC,Under development (Cancelled),https://propsearch.ae/dubai/orchid-residences-jvc,"25°4 7.9""N 55°12 38""E",High Rise Real Estate,,,,Residential building,JVC District 16,Under development,Cancelled,,,,,,,,,,,,
Jumeirah Village Circle,JVC District 16,Cadi 5,Under development (Cancelled),https://propsearch.ae/dubai/cadi-5,"25°4 7.7""N 55°12 47.7""E",Almasah International Real Estate,,,,Residential building,JVC District 16,Under development,Cancelled,5,Mid-rise building,,,,,,,,,update January 2019,https://static.propsearch.ae/dubai-locations/cadi-5-14334_xl.jpg
Jumeirah Village Circle,JVC District 10,10 Tower,Under development (Cancelled),https://propsearch.ae/dubai/10-tower,"25°3 55.1""N 55°12 33.8""E",PND Investments Limited,,,,Residential building,JVC District 10,Under development,Cancelled,17,High-rise building,,,,,2007,2009,,,,
Jumeirah Village Circle,JVC District 12,Ashai Tower,Under development (Cancelled),https://propsearch.ae/dubai/ashai-tower,"25°3 27.2""N 55°12 48.8""E",Ashai Tower JVC Limited,Al Burj Engineering Consultants,,,Mixed-use building,JVC District 12,Under development,Cancelled,29,Skyscraper,,,,,,,,,update November 2019,https://static.propsearch.ae/dubai-locations/ashai-tower-21934_xl.jpg
Jumeirah Village Circle,JVC District 13,Muhra Residence,Under development (Cancelled),https://propsearch.ae/dubai/muhra-residence,"25°3 3.8""N 55°12 27.6""E",,,,,Residential building,JVC District 13,Under development,Cancelled,5,Mid-rise building,,,,,2008,Q3 2009,,,,
