area,sub_area,project,status,url,coordinates,architectural_consultant,contractor,developer,owner,piling_contractor,mep_consultant,cost_consultant,hotel_operator,engineering_consultant,interior_designer,location_type,area_propsearch,phase,floors,building_type,floors_below_ground,total_units,unit_types,date_launched,estimated_handover_date,revised_estimated_handover_date,construction_started,caption,photo_url
Jumeirah Village Triangle,JVT District 1,AHC Residences,Under development,https://propsearch.ae/dubai/ahc-residences,"25°2 12.9""N 55°10 28.9""E",Al Shandagha Architects & Engineering Consultants,ANW Building Contracting LLC,,,,,,,,,Building,JVT District 1,Under development,7,Mid-rise building,,,,2018,,,,update July 2020,https://static.propsearch.ae/dubai-locations/ahc-residences-22541_xl.jpg
Jumeirah Village Triangle,Jumeirah Village Triangle,JVT District 4 Mosque,Under development,https://propsearch.ae/dubai/jvt-district-4-mosque,"25°2 37.7""N 55°11 30.3""E",Shadid Engineering Consultants,Emirates Oasis Contracting,Dalmook Mohamad Humid Bin Dalmook,,,,,,,,Residential building,Jumeirah Village Triangle,Under development,,,,,,,,,,update July 2020,https://static.propsearch.ae/dubai-locations/jvt-majid-22499_xl.jpg
Jumeirah Village Triangle,JVT District 3,Fatimah Mohammad Sharif Building,Under development,https://propsearch.ae/dubai/fatimah-mohammad-sharif-building,"25°2 27.1""N 55°11 3.8""E",BH NS Engineering Consultants,Stree Contracting,,Fatimah Mohammad Sharif,Anmol Piling,,,,,,Residential building,JVT District 3,Under development,5,Mid-rise building,2,,,2017,,,,update July 2020,https://static.propsearch.ae/dubai-locations/fatimah-mohammad-sharif-building-22525_xl.jpg
Jumeirah Village Triangle,JVT District 1,EVO Residences,Under development,https://propsearch.ae/dubai/evo-residences,"25°2 2.4""N 55°10 26.4""E",Em Square Engineering Consultants,Atcon Constructions LLC,Zarwah Developments,,Atlas Foundations,,,,,,Residential building,JVT District 1,Under development,5,Mid-rise building,1,,,2017,Q2 2021,,,update July 2020,https://static.propsearch.ae/dubai-locations/la-residence-2-22548_xl.jpg
Jumeirah Village Triangle,JVT District 2,Edmonton Elm,Under development,https://propsearch.ae/dubai/edmonton-elm,"25°2 23.3""N 55°10 53.3""E",Al Hatmy Design & Engineering Consultancy LLC,,Edmonton Admire,,,,,,,,Residential building,JVT District 2,Under development,5,Mid-rise building,,,,,,,,update July 2020,https://static.propsearch.ae/dubai-locations/edmonton-elm-22528_xl.jpg
Jumeirah Village Triangle,JVT District 3,Blue Coast JVT Building,Under development,https://propsearch.ae/dubai/blue-coast-jvt-building,"25°2 32""N 55°11 13.9""E",Federal Engineering Consultants,,Blue Coast,,,,,,,,Residential building,JVT District 3,Under development,6,Mid-rise building,2,,,,,,,update July 2020,https://static.propsearch.ae/dubai-locations/blue-coast-jvt-building-22519_xl.jpg
Jumeirah Village Triangle,JVT District 6,Al Khail Avenue Mall,Under development,https://propsearch.ae/dubai/al-khail-avenue-mall,"25°3 5""N 55°11 36.4""E",,,Nakheel PJSC,,,,,,,,Mixed-use building,JVT District 6,Under development,,,,,,2016,2018,2020,,update July 2020,https://static.propsearch.ae/dubai-locations/al-khail-avenue-mall-22490_xl.jpg
Jumeirah Village Triangle,JVT District 7,Maya 1,Under development,https://propsearch.ae/dubai/maya-1,"25°3 31.7""N 55°11 39""E",Emirates Design Consortium,NSCO,,,Frankpile Foundations Co.,,,,,,Residential building,JVT District 7,Under development,29,Skyscraper,,,,2018,,,2018,update July 2020,https://static.propsearch.ae/dubai-locations/maya-1-22476_xl.jpg
Jumeirah Village Triangle,JVT District 4,New East Building JVT,Under development,https://propsearch.ae/dubai/new-east-building-jvt,"25°2 36.8""N 55°11 34.6""E",Renaissance Engineering Consultants,ZB Construction LLC,New East General Trading,,,,,,,,Residential building,JVT District 4,Under development,6,Mid-rise building,,,,,,,,site signboard,https://static.propsearch.ae/dubai-locations/new-east-building-jvt-22496_xl.jpg
Jumeirah Village Triangle,JVT District 7,Untitled Plot JVT07IMRA005,Under development,https://propsearch.ae/dubai/untitled-plot-jvt07imra005,"25°3 22.3""N 55°11 36.8""E",Al Hilal Engineering Consultants,Bait Al Yazi Contracting LLC,,Behzad Ali Ahadpour,Cosmos Piling,Mirk Electromechanical LLC,,,,,Residential building,JVT District 7,Under development,5,Mid-rise building,1,,,2017,,,2017,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvt07imra005-22481_xl.jpg
Jumeirah Village Triangle,JVT District 4,Untitled Plot JVT04KMRA008,Under development,https://propsearch.ae/dubai/untitled-plot-jvt04kmra008,"25°2 41.9""N 55°11 42.8""E",NA Architects,Al Raseef Contracting,,Anita Azhar,,,,,,,Residential building,JVT District 4,Under development,5,Mid-rise building,1,,,,,,2018,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvt04kmra008-22491_xl.jpg
Jumeirah Village Triangle,Jumeirah Village Triangle,Untitled Plot JVT04JHRA004,Under development,https://propsearch.ae/dubai/untitled-plot-jvt04jhra004,"25°2 34.5""N 55°11 31""E",Emirates Design Consortium,NSCO,,,Frankpile Foundations Co.,,,,,,Residential building,Jumeirah Village Triangle,Under development,29,Skyscraper,,,,,,,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvt04jhra004-22505_xl.jpg
Jumeirah Village Triangle,JVT District 1,Untitled Plot JVT01EVIL004-005,Under development,https://propsearch.ae/dubai/untitled-plot-jvt01evil004-005,"25°2 10.2""N 55°10 28.7""E",Alajmi Engineering Consultants,,,Ahmed Sayed Farooq Abdulrehman Alalawi,,,,,,,Townhouse row,JVT District 1,Under development,3,Low-rise building,,,,,,,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvt01evil004-005-22547_xl.jpg
Jumeirah Village Triangle,JVT District 1,Untitled Plot JVT01EVIL002-003,Under development,https://propsearch.ae/dubai/untitled-plot-jvt01evil002-003,"25°2 11""N 55°10 27.9""E",ANK Architectural Consultants,Al Furjan Contracting,,Atif Mushtaq,,,,,,,Townhouse row,JVT District 1,Under development,3,Low-rise building,,,,2019,,,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvt01evil002-003-22543_xl.jpg
Jumeirah Village Triangle,JVT District 7,The Silver Lining,Under development,https://propsearch.ae/dubai/the-silver-lining,"25°3 19.9""N 55°11 36.6""E",National Engineering Bureau,Green Bridge Contracting,Silver Lining Properties Limited,,,,Kulkarni Quantity Surveyors,,,,Residential building,JVT District 7,Under development,7,Mid-rise building,,,,2017,,,2017,update July 2020,https://static.propsearch.ae/dubai-locations/silver-lining-properties-building-22484_xl.jpg
Jumeirah Village Triangle,JVT District 7,The One at Jumeirah Village Triangle,Under development,https://propsearch.ae/dubai/the-one-at-jumeirah-village-triangle,"25°3 29.4""N 55°11 39.3""E",Al Hawraa Engineering Consultants,Ghantoot Gulf Contracting,The First Group,,,,,,,,Hotel,JVT District 7,Under development,32,Skyscraper,1,579,579 hotel rooms,2016,,,,update July 2020,https://static.propsearch.ae/dubai-locations/the-one-at-jumeirah-village-triangle-22471_xl.jpg
Jumeirah Village Triangle,JVT District 3,The Community,Under development,https://propsearch.ae/dubai/the-community,"25°2 27.5""N 55°11 8.1""E",ZAS Group,Atcon Constructions LLC,Aqua Developments,,,,,,,,Residential building,JVT District 3,Under development,30,Skyscraper,1,261,StudiosOne-bedroom apartmentsTwo-bedroom apartments,2017,,,,update July 2020,https://static.propsearch.ae/dubai-locations/park-inn-by-radisson-22521_xl.jpg
Jumeirah Village Triangle,JVT District 1,Silver Stallion Towers,Under development,https://propsearch.ae/dubai/silver-stallion-towers,"25°2 1.3""N 55°10 28.3""E",Dubai Consultants,Dubai Civil Engineering,Stallion Properties,,,,,,,,Multi-building complex,JVT District 1,Under development,,,2,,,2008,,,2013,update July 2020,https://static.propsearch.ae/dubai-locations/silver-stallion-towers-22551_xl.jpg
Jumeirah Village Triangle,JVT District 3,Terhab Hotel & Towers,Under development,https://propsearch.ae/dubai/terhab-hotel-towers,"25°2 30.1""N 55°11 15.4""E",,Dubai Civil Engineering,Manazil Real Estate,,Universal Piling Foundation LLC,Crown Home Consultants,,Accor Hotels,BD&S Middle East,,Multi-building complex,JVT District 3,Under development,,,1,,,2016,,,,update July 2020,https://static.propsearch.ae/dubai-locations/terhab-hotel-towers-22565_xl.jpg
Jumeirah Village Triangle,JVT District 2,Magnolia Residence,Under development,https://propsearch.ae/dubai/magnolia-residence,"25°2 25.6""N 55°11 0.4""E",Federal Engineering Consultants,EAJ Contracting LLC,Syndicate Developments,Kamil Khan,,,,,,,Residential building,JVT District 2,Under development,5,Mid-rise building,2,,,,,,,update May 2019,https://static.propsearch.ae/dubai-locations/magnolia-residence-17332_xl.jpg
Jumeirah Village Triangle,JVT District 7,Zazen One,Under development,https://propsearch.ae/dubai/zazen-one,"25°3 34.1""N 55°11 41.2""E",Kaizen Architects & Engineers,Aroma International Building Contractors,ZāZEN Property Development LLC,ZāZEN Properties Limited,,,,,,Note-D,Residential building,JVT District 7,Under development,9,Mid-rise building,,86,One-bedroom apartmentsTwo-bedroom apartmentsDuplexes,2018,January 2022,,2019,update April 2021,https://static.propsearch.ae/dubai-locations/zazen-one-28510_xl.jpg
Jumeirah Village Triangle,JVT District 4,Untitled Residential Plot JVT04 MRA005,Under development,https://propsearch.ae/dubai/untitled-residential-plot-jvt04-mra005,"25°2 35.9""N 55°11 30.6""E",Forth Dimension Engineering Consultancy,Al Yaqeen Contracting LLC,Mohammad Rahif Hakmi,,,,,,,,Residential building,JVT District 4,Under development,5,Mid-rise building,1,,,,,,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-residential-plot-jvt04-mra005-22501_xl.jpg
