area,sub_area,project,status,url,coordinates,architectural_consultant,engineering_consultant,contractor,developer,project_manager,piling_contractor,owner,hotel_operator,cost_consultant,location_type,area_propsearch,phase,floors,floors_below_ground,building_type,height,total_units,unit_types,also_known_as,construction_started,date_launched,estimated_handover_date,revised_estimated_handover_date,caption,photo_url
Palm Jumeirah,Palm Jumeirah,Palm Furnished Apartments,Under development,https://propsearch.ae/dubai/palm-furnished-apartments,"25°6 27.2""N 55°8 40.5""E",Al Abbasi Engineering & Consultants,Emaret Al Sharq Architecture Consultants,Modern Building Contracting Company,,,,,,,Hotel apartments building,Palm Jumeirah,Under development,10,2,Mid-rise building,,,,,2017,,,,update June 2021,https://static.propsearch.ae/dubai-locations/palm-furnished-apartments_iARrT_xl.jpg
Palm Jumeirah,The Palm Crescent,The Royal Atlantis Resort & Residences,Under development,https://propsearch.ae/dubai/the-royal-atlantis-resort-residences,"25°8 16.9""N 55°7 38.1""E",Kohn Pedersen Fox Associates,DEC Dynamic,Belhasa Six Construct,Kerzner International,Faithful & Gould,HSSG Foundation Contracting,,,,Hotel,The Palm Crescent,Under development,43,,Skyscraper,193 metres (633 feet),"1,026",Two-bedroom apartmentsThree-bedroom apartmentsFour-bedroom apartmentsFive-bedroom apartmentsPenthousesHotel rooms,,2015,2014,Q3 2019,Q4 2021,update November 2020,https://static.propsearch.ae/dubai-locations/the-royal-atlantis-resort-residences-26184_xl.jpg
Palm Jumeirah,The Palm Crescent,Nirvana,Under development,https://propsearch.ae/dubai/nirvana,"25°8 24.5""N 55°8 28.2""E",RSP Architects Planners & Engineers,,,Centurion International Limited,,Atlas Foundations,,,,Residential building,The Palm Crescent,Under development,8,1,Mid-rise building,,,,,,2019,,,site signboard,https://static.propsearch.ae/dubai-locations/nirvana-26181_xl.jpg
Palm Jumeirah,Palm Jumeirah,Mysk by Shaza,Under development,https://propsearch.ae/dubai/mysk-by-shaza,"25°6 28.9""N 55°8 38.4""E",Naga Architects,,Atcon Constructions LLC,Aqua Developments,,,Palma Development Ltd,,,Residential building,Palm Jumeirah,Under development,11,1,High-rise building,,180,,,2017,September 2017,Q4 2018,,update June 2021,https://static.propsearch.ae/dubai-locations/mysk-by-shaza_wntTZ_xl.jpg
Palm Jumeirah,Palm Jumeirah,Seven Palm,Under development,https://propsearch.ae/dubai/seven-palm,"25°6 41.4""N 55°8 19.4""E",Conin Incorporated Consultants,,Airolink Building Contracting,Al Memzar Investments Co.,,,,,,Multi-building complex,Palm Jumeirah,Under development,,2,,,"1,066",,,September 2018,September 2017,December 2019,Q3 2020,update June 2021,https://static.propsearch.ae/dubai-locations/seven-palm_H1x7u_xl.jpg
Palm Jumeirah,Palm Jumeirah,Marriott Resort Palm Jumeirah,Under development,https://propsearch.ae/dubai/marriott-resort-palm-jumeirah,"25°6 23.5""N 55°8 43.8""E",Arenco Architectural & Engineering Consultants,,,Abdullah Ahmed Almoosa,,,,,,Hotel,Palm Jumeirah,Under development,14,,High-rise building,,,,,,,November 2020,,update June 2021,https://static.propsearch.ae/dubai-locations/marriott-resort-palm-jumeirah_BRL5f_xl.jpg
Palm Jumeirah,Palm Jumeirah,The Palm Tower,Under development,https://propsearch.ae/dubai/the-palm-tower,"25°6 49.4""N 55°8 23.6""E",Al Wasl Al Jadeed Consultants,WME Consultants,Trojan General Contracting,Nakheel PJSC,,,,Starwood Hotels & Resorts Worldwide,Rider Levett Bucknall,Mixed-use building,Palm Jumeirah,Under development,52,3,Skyscraper,231 metres (758 feet),722,194 studios226 one-bedroom apartments10 two-bedroom apartments2 three-bedroom apartments290 hotel rooms,St. Regis Dubai The Palm,2014,,2017,October 2021,update June 2021,https://static.propsearch.ae/dubai-locations/the-palm-tower_eiEJr_xl.jpg
Palm Jumeirah,Palm Jumeirah,Silver Beach Hotel & Apartments,Under development,https://propsearch.ae/dubai/silver-beach-hotel-apartments,"25°6 29""N 55°8 33.3""E",,,Bhatia General Contracting Co. LLC,Silver Beach Properties Limited,,TMF Euro Foundations,,,,Mixed-use building,Palm Jumeirah,Under development,14,,High-rise building,,,,,,2017,,,update June 2021,https://static.propsearch.ae/dubai-locations/silver-beach-hotel-apartments_rDHRK_xl.jpg
Palm Jumeirah,The Palm Crescent,The Langham Palm Jumeirah,Under development,https://propsearch.ae/dubai/the-langham-palm-jumeirah,"25°5 54""N 55°7 41.2""E",Arif & Bintoak,,Inter Mass Engineering & Contracting,Das Real Estate,,,,Langham Hotels,Hepher Quantity Surveying,Multi-building complex,The Palm Crescent,Under development,,,,,,,,,2007,2015,2020,update April 2017,https://static.propsearch.ae/photos/dubai/buildings/the-langham-palm-jumeirah-8938_xl.jpg
Palm Jumeirah,The Palm Crescent,The 8,Under development,https://propsearch.ae/dubai/the-8,"25°7 2.8""N 55°6 36.2""E",National Engineering Bureau,,,IFA Hotels & Resorts,,,,,,Mixed-use building,The Palm Crescent,Under development,8,,Mid-rise building,,,,Delano Dubai,2015,August 2014,2017,,update November 2020,https://static.propsearch.ae/dubai-locations/the-8-26195_xl.jpg
Palm Jumeirah,The Palm Crescent,Taj Palm Jumeirah,Under development,https://propsearch.ae/dubai/taj-palm-jumeirah,"25°7 26.7""N 55°9 13""E",Arenco Architectural & Engineering Consultants,,China State Construction Engineering Corporation,Abdullah Ahmed Almoosa,,,,,,Hotel,The Palm Crescent,Under development,7,,Mid-rise building,,,,,2015,,,,update November 2020,https://static.propsearch.ae/dubai-locations/crescent-resort-hotel-26166_xl.jpg
Palm Jumeirah,Palm Jumeirah,Voco Dubai Palm Jumeirah,Under development,https://propsearch.ae/dubai/voco-dubai-palm-jumeirah,"25°6 27.7""N 55°8 35""E",Conin Incorporated Consultants,,,Asre Limited,,Edrafor Piling And Special Foundation,,,,Hotel,Palm Jumeirah,Under development,10,,Mid-rise building,,141,141 hotel rooms,,2014,,December 2021,,update June 2021,https://static.propsearch.ae/dubai-locations/byblos-hotel-the-palm_TX0FN_xl.jpg
Palm Jumeirah,The Palm Crescent,Al Shafar Investment Development,Under development,https://propsearch.ae/dubai/al-shafar-investment-development,"25°8 20.2""N 55°8 39.5""E",Al Asri Engineering Consultant,,,Al Shafar Investment,,,,,,Multi-building complex,The Palm Crescent,Under development,,,,,,,,2014,,,,update November 2020,https://static.propsearch.ae/dubai-locations/al-shafar-investment-development-26175_xl.jpg
Palm Jumeirah,Palm Jumeirah,Asma Yousuf Abdullah Al-Daboos Building,Under development,https://propsearch.ae/dubai/asma-yousuf-abdullah-al-daboos-building,"25°6 25.6""N 55°8 37.9""E",Safeer Engineering Consultants,,,Asma Yousuf Abdullah Al-Daboos,,,,,,Residential building,Palm Jumeirah,Under development,10,,Mid-rise building,,,,,,2015,,,update June 2021,https://static.propsearch.ae/dubai-locations/asma-yousuf-abdullah-al-daboos-building_5qj3Q_xl.jpg
