area,sub_area,project,status,link
Arjan,Arjan,Dania Building 2,Complete,https://propsearch.ae/dubai/dania-building-2
Arjan,Arjan,Joya Blanca,Under development (In progress),https://propsearch.ae/dubai/joya-blanca
Arjan,Arjan,La Fontana,Complete,https://propsearch.ae/dubai/la-fontana
Arjan,Arjan,Leerbach Palace,Under development,https://propsearch.ae/dubai/leerbach-palace
Arjan,Arjan,Lincoln Park A,Complete,https://propsearch.ae/dubai/lincoln-park-a
Arjan,Arjan,Lincoln Park B,Complete,https://propsearch.ae/dubai/lincoln-park-b
Arjan,Arjan,Lincoln Park C,Complete,https://propsearch.ae/dubai/lincoln-park-c
Arjan,Arjan,Lincoln Park D,Complete,https://propsearch.ae/dubai/lincoln-park-d
Arjan,Arjan,Lincoln Park E,Complete,https://propsearch.ae/dubai/lincoln-park-e
Arjan,Arjan,Malak Al Reem Building,Complete,https://propsearch.ae/dubai/malak-al-reem-building
Arjan,Arjan,Mediclinic Parkview Hospital,Complete,https://propsearch.ae/dubai/mediclinic-parkview-hospital
Arjan,Arjan,Mercure Staff Accomodation Building,Complete,https://propsearch.ae/dubai/mercure-staff-accomodation-building
Arjan,Arjan,Miracle Residence,Complete,https://propsearch.ae/dubai/miracle-residence
Arjan,Arjan,Miraclz by Danube,Under development,https://propsearch.ae/dubai/miraclz-by-danube
Arjan,Arjan,Orion Building,Under development (On hold),https://propsearch.ae/dubai/orion-building
Arjan,Arjan,Pearl Mizin,Under development (On hold),https://propsearch.ae/dubai/pearl-mizin
Arjan,Arjan,Platinum One Serviced Apartments,Complete,https://propsearch.ae/dubai/platinum-one-serviced-apartments
Arjan,Arjan,PRIVÀ Living,Complete,https://propsearch.ae/dubai/priva-living
Arjan,Arjan,Q Gardens,Under development,https://propsearch.ae/dubai/q-gardens
Arjan,Arjan,Resortz by Danube,Complete,https://propsearch.ae/dubai/resortz-by-danube
Arjan,Arjan,Restofair Building,Complete,https://propsearch.ae/dubai/restofair-building
Arjan,Arjan,Rose Palace,Complete,https://propsearch.ae/dubai/rose-palace
